group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert & Remove,Deque,,,,958674.0,ns,134
Insert & Remove,Deque,,,,1913999.0,ns,268
Insert & Remove,Deque,,,,2870609.0,ns,402
Insert & Remove,Deque,,,,3956046.0,ns,536
Insert & Remove,Deque,,,,5083207.0,ns,670
Insert & Remove,Deque,,,,5770694.0,ns,804
Insert & Remove,Deque,,,,6932667.0,ns,938
Insert & Remove,Deque,,,,7853536.0,ns,1072
Insert & Remove,Deque,,,,8804913.0,ns,1206
Insert & Remove,Deque,,,,9583516.0,ns,1340
Insert & Remove,Deque,,,,10789406.0,ns,1474
Insert & Remove,Deque,,,,11837582.0,ns,1608
Insert & Remove,Deque,,,,12794782.0,ns,1742
Insert & Remove,Deque,,,,14053655.0,ns,1876
Insert & Remove,Deque,,,,14915725.0,ns,2010
Insert & Remove,Deque,,,,15851565.0,ns,2144
Insert & Remove,Deque,,,,16623697.0,ns,2278
Insert & Remove,Deque,,,,17794267.0,ns,2412
Insert & Remove,Deque,,,,18579281.0,ns,2546
Insert & Remove,Deque,,,,19537592.0,ns,2680
Insert & Remove,Deque,,,,20593417.0,ns,2814
Insert & Remove,Deque,,,,21308148.0,ns,2948
Insert & Remove,Deque,,,,22629239.0,ns,3082
Insert & Remove,Deque,,,,23633246.0,ns,3216
Insert & Remove,Deque,,,,24747178.0,ns,3350
Insert & Remove,Deque,,,,25274903.0,ns,3484
Insert & Remove,Deque,,,,26364016.0,ns,3618
Insert & Remove,Deque,,,,27186533.0,ns,3752
Insert & Remove,Deque,,,,28380390.0,ns,3886
Insert & Remove,Deque,,,,29761362.0,ns,4020
Insert & Remove,Deque,,,,30668992.0,ns,4154
Insert & Remove,Deque,,,,31274215.0,ns,4288
Insert & Remove,Deque,,,,31921051.0,ns,4422
Insert & Remove,Deque,,,,33174925.0,ns,4556
Insert & Remove,Deque,,,,34157037.0,ns,4690
Insert & Remove,Deque,,,,35339032.0,ns,4824
Insert & Remove,Deque,,,,36106620.0,ns,4958
Insert & Remove,Deque,,,,36846589.0,ns,5092
Insert & Remove,Deque,,,,38173952.0,ns,5226
Insert & Remove,Deque,,,,39015562.0,ns,5360
Insert & Remove,Deque,,,,39864538.0,ns,5494
Insert & Remove,Deque,,,,40861053.0,ns,5628
Insert & Remove,Deque,,,,41421557.0,ns,5762
Insert & Remove,Deque,,,,43223538.0,ns,5896
Insert & Remove,Deque,,,,43717265.0,ns,6030
Insert & Remove,Deque,,,,44404049.0,ns,6164
Insert & Remove,Deque,,,,45846963.0,ns,6298
Insert & Remove,Deque,,,,46944232.0,ns,6432
Insert & Remove,Deque,,,,47864629.0,ns,6566
Insert & Remove,Deque,,,,48847213.0,ns,6700
Insert & Remove,Deque,,,,49684057.0,ns,6834
Insert & Remove,Deque,,,,50677274.0,ns,6968
Insert & Remove,Deque,,,,50956534.0,ns,7102
Insert & Remove,Deque,,,,52674949.0,ns,7236
Insert & Remove,Deque,,,,53037533.0,ns,7370
Insert & Remove,Deque,,,,53944670.0,ns,7504
Insert & Remove,Deque,,,,56377698.0,ns,7638
Insert & Remove,Deque,,,,56307275.0,ns,7772
Insert & Remove,Deque,,,,57054616.0,ns,7906
Insert & Remove,Deque,,,,58560582.0,ns,8040
Insert & Remove,Deque,,,,59137995.0,ns,8174
Insert & Remove,Deque,,,,59797880.0,ns,8308
Insert & Remove,Deque,,,,60476038.0,ns,8442
Insert & Remove,Deque,,,,61919848.0,ns,8576
Insert & Remove,Deque,,,,63831047.0,ns,8710
Insert & Remove,Deque,,,,65820528.0,ns,8844
Insert & Remove,Deque,,,,66097290.0,ns,8978
Insert & Remove,Deque,,,,66256002.0,ns,9112
Insert & Remove,Deque,,,,66695629.0,ns,9246
Insert & Remove,Deque,,,,67511135.0,ns,9380
Insert & Remove,Deque,,,,69070750.0,ns,9514
Insert & Remove,Deque,,,,70313138.0,ns,9648
Insert & Remove,Deque,,,,70564643.0,ns,9782
Insert & Remove,Deque,,,,72666790.0,ns,9916
Insert & Remove,Deque,,,,72970315.0,ns,10050
Insert & Remove,Deque,,,,73507186.0,ns,10184
Insert & Remove,Deque,,,,74912693.0,ns,10318
Insert & Remove,Deque,,,,75024684.0,ns,10452
Insert & Remove,Deque,,,,79651492.0,ns,10586
Insert & Remove,Deque,,,,78424589.0,ns,10720
Insert & Remove,Deque,,,,78561309.0,ns,10854
Insert & Remove,Deque,,,,78969758.0,ns,10988
Insert & Remove,Deque,,,,80418669.0,ns,11122
Insert & Remove,Deque,,,,81361254.0,ns,11256
Insert & Remove,Deque,,,,81660910.0,ns,11390
Insert & Remove,Deque,,,,82214719.0,ns,11524
Insert & Remove,Deque,,,,84152109.0,ns,11658
Insert & Remove,Deque,,,,84452154.0,ns,11792
Insert & Remove,Deque,,,,85341728.0,ns,11926
Insert & Remove,Deque,,,,86422112.0,ns,12060
Insert & Remove,Deque,,,,88212224.0,ns,12194
Insert & Remove,Deque,,,,90596568.0,ns,12328
Insert & Remove,Deque,,,,90811143.0,ns,12462
Insert & Remove,Deque,,,,90860076.0,ns,12596
Insert & Remove,Deque,,,,91047855.0,ns,12730
Insert & Remove,Deque,,,,92962726.0,ns,12864
Insert & Remove,Deque,,,,93370143.0,ns,12998
Insert & Remove,Deque,,,,94155174.0,ns,13132
Insert & Remove,Deque,,,,95615267.0,ns,13266
Insert & Remove,Deque,,,,96054836.0,ns,13400
