group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert & Remove,List,,,,988827.0,ns,18
Insert & Remove,List,,,,1971614.0,ns,36
Insert & Remove,List,,,,2949769.0,ns,54
Insert & Remove,List,,,,3853704.0,ns,72
Insert & Remove,List,,,,4810841.0,ns,90
Insert & Remove,List,,,,5810884.0,ns,108
Insert & Remove,List,,,,6854975.0,ns,126
Insert & Remove,List,,,,7759189.0,ns,144
Insert & Remove,List,,,,8810714.0,ns,162
Insert & Remove,List,,,,9945351.0,ns,180
Insert & Remove,List,,,,10876748.0,ns,198
Insert & Remove,List,,,,11814204.0,ns,216
Insert & Remove,List,,,,12682444.0,ns,234
Insert & Remove,List,,,,13450716.0,ns,252
Insert & Remove,List,,,,14324105.0,ns,270
Insert & Remove,List,,,,15399541.0,ns,288
Insert & Remove,List,,,,16352485.0,ns,306
Insert & Remove,List,,,,17285199.0,ns,324
Insert & Remove,List,,,,18332804.0,ns,342
Insert & Remove,List,,,,19111371.0,ns,360
Insert & Remove,List,,,,20386011.0,ns,378
Insert & Remove,List,,,,21116256.0,ns,396
Insert & Remove,List,,,,21993195.0,ns,414
Insert & Remove,List,,,,23426230.0,ns,432
Insert & Remove,List,,,,24478086.0,ns,450
Insert & Remove,List,,,,25723025.0,ns,468
Insert & Remove,List,,,,26782380.0,ns,486
Insert & Remove,List,,,,28521941.0,ns,504
Insert & Remove,List,,,,30803444.0,ns,522
Insert & Remove,List,,,,31682546.0,ns,540
Insert & Remove,List,,,,32340744.0,ns,558
Insert & Remove,List,,,,32946640.0,ns,576
Insert & Remove,List,,,,32533360.0,ns,594
Insert & Remove,List,,,,34295460.0,ns,612
Insert & Remove,List,,,,35241870.0,ns,630
Insert & Remove,List,,,,36640333.0,ns,648
Insert & Remove,List,,,,36446832.0,ns,666
Insert & Remove,List,,,,37595442.0,ns,684
Insert & Remove,List,,,,37607219.0,ns,702
Insert & Remove,List,,,,38466802.0,ns,720
Insert & Remove,List,,,,39336862.0,ns,738
Insert & Remove,List,,,,41556042.0,ns,756
Insert & Remove,List,,,,41539406.0,ns,774
Insert & Remove,List,,,,42310672.0,ns,792
Insert & Remove,List,,,,43286792.0,ns,810
Insert & Remove,List,,,,45036643.0,ns,828
Insert & Remove,List,,,,45241877.0,ns,846
Insert & Remove,List,,,,45937562.0,ns,864
Insert & Remove,List,,,,46687738.0,ns,882
Insert & Remove,List,,,,48213477.0,ns,900
Insert & Remove,List,,,,49162836.0,ns,918
Insert & Remove,List,,,,49963785.0,ns,936
Insert & Remove,List,,,,51499523.0,ns,954
Insert & Remove,List,,,,52620872.0,ns,972
Insert & Remove,List,,,,52932660.0,ns,990
Insert & Remove,List,,,,54906418.0,ns,1008
Insert & Remove,List,,,,55875661.0,ns,1026
Insert & Remove,List,,,,58133242.0,ns,1044
Insert & Remove,List,,,,56868902.0,ns,1062
Insert & Remove,List,,,,57738716.0,ns,1080
Insert & Remove,List,,,,59481838.0,ns,1098
Insert & Remove,List,,,,59946971.0,ns,1116
Insert & Remove,List,,,,60624696.0,ns,1134
Insert & Remove,List,,,,61543365.0,ns,1152
Insert & Remove,List,,,,62456408.0,ns,1170
Insert & Remove,List,,,,65873562.0,ns,1188
Insert & Remove,List,,,,65930476.0,ns,1206
Insert & Remove,List,,,,65596606.0,ns,1224
Insert & Remove,List,,,,67498460.0,ns,1242
Insert & Remove,List,,,,69676645.0,ns,1260
Insert & Remove,List,,,,68373210.0,ns,1278
Insert & Remove,List,,,,70196643.0,ns,1296
Insert & Remove,List,,,,71966254.0,ns,1314
Insert & Remove,List,,,,75490572.0,ns,1332
Insert & Remove,List,,,,72728377.0,ns,1350
Insert & Remove,List,,,,74985378.0,ns,1368
Insert & Remove,List,,,,75811286.0,ns,1386
Insert & Remove,List,,,,76645722.0,ns,1404
Insert & Remove,List,,,,76101041.0,ns,1422
Insert & Remove,List,,,,78043543.0,ns,1440
Insert & Remove,List,,,,77976089.0,ns,1458
Insert & Remove,List,,,,78675025.0,ns,1476
Insert & Remove,List,,,,80269710.0,ns,1494
Insert & Remove,List,,,,81688857.0,ns,1512
Insert & Remove,List,,,,81774427.0,ns,1530
Insert & Remove,List,,,,83692644.0,ns,1548
Insert & Remove,List,,,,84588737.0,ns,1566
Insert & Remove,List,,,,87544376.0,ns,1584
Insert & Remove,List,,,,88067081.0,ns,1602
Insert & Remove,List,,,,87199888.0,ns,1620
Insert & Remove,List,,,,88907550.0,ns,1638
Insert & Remove,List,,,,88380192.0,ns,1656
Insert & Remove,List,,,,88958213.0,ns,1674
Insert & Remove,List,,,,91944112.0,ns,1692
Insert & Remove,List,,,,92977795.0,ns,1710
Insert & Remove,List,,,,94651049.0,ns,1728
Insert & Remove,List,,,,94722411.0,ns,1746
Insert & Remove,List,,,,96944399.0,ns,1764
Insert & Remove,List,,,,95021491.0,ns,1782
Insert & Remove,List,,,,96477880.0,ns,1800
