group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert & Remove,List,,,,1032271.0,ns,19
Insert & Remove,List,,,,2100329.0,ns,38
Insert & Remove,List,,,,3130869.0,ns,57
Insert & Remove,List,,,,4186046.0,ns,76
Insert & Remove,List,,,,5268402.0,ns,95
Insert & Remove,List,,,,6298696.0,ns,114
Insert & Remove,List,,,,7451969.0,ns,133
Insert & Remove,List,,,,8356148.0,ns,152
Insert & Remove,List,,,,9414371.0,ns,171
Insert & Remove,List,,,,10593497.0,ns,190
Insert & Remove,List,,,,11643565.0,ns,209
Insert & Remove,List,,,,12632334.0,ns,228
Insert & Remove,List,,,,13397108.0,ns,247
Insert & Remove,List,,,,14330369.0,ns,266
Insert & Remove,List,,,,15274177.0,ns,285
Insert & Remove,List,,,,16341717.0,ns,304
Insert & Remove,List,,,,17529449.0,ns,323
Insert & Remove,List,,,,18365855.0,ns,342
Insert & Remove,List,,,,19267665.0,ns,361
Insert & Remove,List,,,,20381438.0,ns,380
Insert & Remove,List,,,,21437623.0,ns,399
Insert & Remove,List,,,,22456568.0,ns,418
Insert & Remove,List,,,,23403074.0,ns,437
Insert & Remove,List,,,,24412106.0,ns,456
Insert & Remove,List,,,,27145828.0,ns,475
Insert & Remove,List,,,,27352085.0,ns,494
Insert & Remove,List,,,,27481260.0,ns,513
Insert & Remove,List,,,,28402520.0,ns,532
Insert & Remove,List,,,,29603158.0,ns,551
Insert & Remove,List,,,,30523241.0,ns,570
Insert & Remove,List,,,,31375589.0,ns,589
Insert & Remove,List,,,,32414013.0,ns,608
Insert & Remove,List,,,,34001167.0,ns,627
Insert & Remove,List,,,,34359377.0,ns,646
Insert & Remove,List,,,,35484627.0,ns,665
Insert & Remove,List,,,,36355410.0,ns,684
Insert & Remove,List,,,,37139781.0,ns,703
Insert & Remove,List,,,,38392925.0,ns,722
Insert & Remove,List,,,,39488765.0,ns,741
Insert & Remove,List,,,,40655746.0,ns,760
Insert & Remove,List,,,,41394709.0,ns,779
Insert & Remove,List,,,,42328128.0,ns,798
Insert & Remove,List,,,,43367665.0,ns,817
Insert & Remove,List,,,,44656857.0,ns,836
Insert & Remove,List,,,,51997147.0,ns,855
Insert & Remove,List,,,,47181919.0,ns,874
Insert & Remove,List,,,,47785352.0,ns,893
Insert & Remove,List,,,,48821472.0,ns,912
Insert & Remove,List,,,,49805011.0,ns,931
Insert & Remove,List,,,,50803643.0,ns,950
Insert & Remove,List,,,,51637579.0,ns,969
Insert & Remove,List,,,,52762022.0,ns,988
Insert & Remove,List,,,,54140412.0,ns,1007
Insert & Remove,List,,,,54655322.0,ns,1026
Insert & Remove,List,,,,55999948.0,ns,1045
Insert & Remove,List,,,,56802246.0,ns,1064
Insert & Remove,List,,,,57784375.0,ns,1083
Insert & Remove,List,,,,58785345.0,ns,1102
Insert & Remove,List,,,,59758272.0,ns,1121
Insert & Remove,List,,,,61273913.0,ns,1140
Insert & Remove,List,,,,61357954.0,ns,1159
Insert & Remove,List,,,,62583063.0,ns,1178
Insert & Remove,List,,,,65535532.0,ns,1197
Insert & Remove,List,,,,65614312.0,ns,1216
Insert & Remove,List,,,,66100066.0,ns,1235
Insert & Remove,List,,,,67586236.0,ns,1254
Insert & Remove,List,,,,68688130.0,ns,1273
Insert & Remove,List,,,,69680998.0,ns,1292
Insert & Remove,List,,,,70802448.0,ns,1311
Insert & Remove,List,,,,71347462.0,ns,1330
Insert & Remove,List,,,,72362904.0,ns,1349
Insert & Remove,List,,,,72694735.0,ns,1368
Insert & Remove,List,,,,73675316.0,ns,1387
Insert & Remove,List,,,,74790334.0,ns,1406
Insert & Remove,List,,,,75484693.0,ns,1425
Insert & Remove,List,,,,76618593.0,ns,1444
Insert & Remove,List,,,,79757959.0,ns,1463
Insert & Remove,List,,,,79849368.0,ns,1482
Insert & Remove,List,,,,80059589.0,ns,1501
Insert & Remove,List,,,,80904337.0,ns,1520
Insert & Remove,List,,,,81910411.0,ns,1539
Insert & Remove,List,,,,83623809.0,ns,1558
Insert & Remove,List,,,,84187740.0,ns,1577
Insert & Remove,List,,,,85439820.0,ns,1596
Insert & Remove,List,,,,86030193.0,ns,1615
Insert & Remove,List,,,,96094371.0,ns,1634
Insert & Remove,List,,,,89894694.0,ns,1653
Insert & Remove,List,,,,94880887.0,ns,1672
Insert & Remove,List,,,,95740004.0,ns,1691
Insert & Remove,List,,,,94938849.0,ns,1710
Insert & Remove,List,,,,95058025.0,ns,1729
Insert & Remove,List,,,,94606197.0,ns,1748
Insert & Remove,List,,,,95014795.0,ns,1767
Insert & Remove,List,,,,96526394.0,ns,1786
Insert & Remove,List,,,,96784076.0,ns,1805
Insert & Remove,List,,,,97858682.0,ns,1824
Insert & Remove,List,,,,99062780.0,ns,1843
Insert & Remove,List,,,,99106579.0,ns,1862
Insert & Remove,List,,,,102913629.0,ns,1881
Insert & Remove,List,,,,101916606.0,ns,1900
