group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert & Remove,Vec,,,,984324.0,ns,138
Insert & Remove,Vec,,,,1967275.0,ns,276
Insert & Remove,Vec,,,,3028135.0,ns,414
Insert & Remove,Vec,,,,4073249.0,ns,552
Insert & Remove,Vec,,,,5083945.0,ns,690
Insert & Remove,Vec,,,,6063238.0,ns,828
Insert & Remove,Vec,,,,7086921.0,ns,966
Insert & Remove,Vec,,,,8236643.0,ns,1104
Insert & Remove,Vec,,,,9255858.0,ns,1242
Insert & Remove,Vec,,,,10343029.0,ns,1380
Insert & Remove,Vec,,,,11467731.0,ns,1518
Insert & Remove,Vec,,,,12502975.0,ns,1656
Insert & Remove,Vec,,,,13730015.0,ns,1794
Insert & Remove,Vec,,,,14506651.0,ns,1932
Insert & Remove,Vec,,,,15284017.0,ns,2070
Insert & Remove,Vec,,,,16355230.0,ns,2208
Insert & Remove,Vec,,,,17401142.0,ns,2346
Insert & Remove,Vec,,,,18775027.0,ns,2484
Insert & Remove,Vec,,,,19451554.0,ns,2622
Insert & Remove,Vec,,,,20170512.0,ns,2760
Insert & Remove,Vec,,,,21810316.0,ns,2898
Insert & Remove,Vec,,,,22769063.0,ns,3036
Insert & Remove,Vec,,,,23654683.0,ns,3174
Insert & Remove,Vec,,,,24682431.0,ns,3312
Insert & Remove,Vec,,,,25517124.0,ns,3450
Insert & Remove,Vec,,,,26573395.0,ns,3588
Insert & Remove,Vec,,,,27600068.0,ns,3726
Insert & Remove,Vec,,,,28660158.0,ns,3864
Insert & Remove,Vec,,,,29887972.0,ns,4002
Insert & Remove,Vec,,,,30886440.0,ns,4140
Insert & Remove,Vec,,,,31958081.0,ns,4278
Insert & Remove,Vec,,,,32907736.0,ns,4416
Insert & Remove,Vec,,,,33692743.0,ns,4554
Insert & Remove,Vec,,,,34766978.0,ns,4692
Insert & Remove,Vec,,,,36244088.0,ns,4830
Insert & Remove,Vec,,,,37601932.0,ns,4968
Insert & Remove,Vec,,,,39365695.0,ns,5106
Insert & Remove,Vec,,,,38933576.0,ns,5244
Insert & Remove,Vec,,,,39752133.0,ns,5382
Insert & Remove,Vec,,,,40649366.0,ns,5520
Insert & Remove,Vec,,,,41201659.0,ns,5658
Insert & Remove,Vec,,,,42765922.0,ns,5796
Insert & Remove,Vec,,,,44662525.0,ns,5934
Insert & Remove,Vec,,,,45409919.0,ns,6072
Insert & Remove,Vec,,,,46822871.0,ns,6210
Insert & Remove,Vec,,,,48163906.0,ns,6348
Insert & Remove,Vec,,,,48306007.0,ns,6486
Insert & Remove,Vec,,,,50730688.0,ns,6624
Insert & Remove,Vec,,,,49967067.0,ns,6762
Insert & Remove,Vec,,,,50141811.0,ns,6900
Insert & Remove,Vec,,,,51127999.0,ns,7038
Insert & Remove,Vec,,,,52167090.0,ns,7176
Insert & Remove,Vec,,,,53137543.0,ns,7314
Insert & Remove,Vec,,,,53789359.0,ns,7452
Insert & Remove,Vec,,,,55425723.0,ns,7590
Insert & Remove,Vec,,,,57653365.0,ns,7728
Insert & Remove,Vec,,,,59785944.0,ns,7866
Insert & Remove,Vec,,,,59049671.0,ns,8004
Insert & Remove,Vec,,,,60446561.0,ns,8142
Insert & Remove,Vec,,,,61516239.0,ns,8280
Insert & Remove,Vec,,,,60878360.0,ns,8418
Insert & Remove,Vec,,,,62291481.0,ns,8556
Insert & Remove,Vec,,,,64593557.0,ns,8694
Insert & Remove,Vec,,,,64943361.0,ns,8832
Insert & Remove,Vec,,,,65953522.0,ns,8970
Insert & Remove,Vec,,,,65711222.0,ns,9108
Insert & Remove,Vec,,,,67114829.0,ns,9246
Insert & Remove,Vec,,,,68796621.0,ns,9384
Insert & Remove,Vec,,,,70142219.0,ns,9522
Insert & Remove,Vec,,,,70714933.0,ns,9660
Insert & Remove,Vec,,,,70984287.0,ns,9798
Insert & Remove,Vec,,,,74379676.0,ns,9936
Insert & Remove,Vec,,,,75760919.0,ns,10074
Insert & Remove,Vec,,,,80636272.0,ns,10212
Insert & Remove,Vec,,,,78294837.0,ns,10350
Insert & Remove,Vec,,,,78637120.0,ns,10488
Insert & Remove,Vec,,,,89280605.0,ns,10626
Insert & Remove,Vec,,,,87407261.0,ns,10764
Insert & Remove,Vec,,,,81426912.0,ns,10902
Insert & Remove,Vec,,,,82708141.0,ns,11040
Insert & Remove,Vec,,,,83815492.0,ns,11178
Insert & Remove,Vec,,,,83908016.0,ns,11316
Insert & Remove,Vec,,,,84794933.0,ns,11454
Insert & Remove,Vec,,,,96819474.0,ns,11592
Insert & Remove,Vec,,,,88940236.0,ns,11730
Insert & Remove,Vec,,,,85819625.0,ns,11868
Insert & Remove,Vec,,,,86508666.0,ns,12006
Insert & Remove,Vec,,,,87241745.0,ns,12144
Insert & Remove,Vec,,,,102769265.0,ns,12282
Insert & Remove,Vec,,,,93182558.0,ns,12420
Insert & Remove,Vec,,,,90937468.0,ns,12558
Insert & Remove,Vec,,,,95430285.0,ns,12696
Insert & Remove,Vec,,,,92915669.0,ns,12834
Insert & Remove,Vec,,,,94336813.0,ns,12972
Insert & Remove,Vec,,,,94716491.0,ns,13110
Insert & Remove,Vec,,,,94795080.0,ns,13248
Insert & Remove,Vec,,,,95649326.0,ns,13386
Insert & Remove,Vec,,,,112037645.0,ns,13524
Insert & Remove,Vec,,,,104143145.0,ns,13662
Insert & Remove,Vec,,,,99957002.0,ns,13800
