group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert Back,Deque,,,,1063150.0,ns,206
Insert Back,Deque,,,,2087096.0,ns,412
Insert Back,Deque,,,,2979160.0,ns,618
Insert Back,Deque,,,,4078548.0,ns,824
Insert Back,Deque,,,,5062107.0,ns,1030
Insert Back,Deque,,,,5949485.0,ns,1236
Insert Back,Deque,,,,7147202.0,ns,1442
Insert Back,Deque,,,,8014040.0,ns,1648
Insert Back,Deque,,,,9221788.0,ns,1854
Insert Back,Deque,,,,9927115.0,ns,2060
Insert Back,Deque,,,,11177421.0,ns,2266
Insert Back,Deque,,,,12058222.0,ns,2472
Insert Back,Deque,,,,13003280.0,ns,2678
Insert Back,Deque,,,,14126864.0,ns,2884
Insert Back,Deque,,,,15175872.0,ns,3090
Insert Back,Deque,,,,16158774.0,ns,3296
Insert Back,Deque,,,,17146523.0,ns,3502
Insert Back,Deque,,,,18407188.0,ns,3708
Insert Back,Deque,,,,19284930.0,ns,3914
Insert Back,Deque,,,,20411819.0,ns,4120
Insert Back,Deque,,,,20952417.0,ns,4326
Insert Back,Deque,,,,21773301.0,ns,4532
Insert Back,Deque,,,,23074449.0,ns,4738
Insert Back,Deque,,,,23711321.0,ns,4944
Insert Back,Deque,,,,25083273.0,ns,5150
Insert Back,Deque,,,,25342734.0,ns,5356
Insert Back,Deque,,,,26140475.0,ns,5562
Insert Back,Deque,,,,26025369.0,ns,5768
Insert Back,Deque,,,,28477168.0,ns,5974
Insert Back,Deque,,,,29245167.0,ns,6180
Insert Back,Deque,,,,30059686.0,ns,6386
Insert Back,Deque,,,,31129058.0,ns,6592
Insert Back,Deque,,,,31871918.0,ns,6798
Insert Back,Deque,,,,32987451.0,ns,7004
Insert Back,Deque,,,,33933198.0,ns,7210
Insert Back,Deque,,,,35733972.0,ns,7416
Insert Back,Deque,,,,36076659.0,ns,7622
Insert Back,Deque,,,,37425004.0,ns,7828
Insert Back,Deque,,,,38425177.0,ns,8034
Insert Back,Deque,,,,39543046.0,ns,8240
Insert Back,Deque,,,,40144654.0,ns,8446
Insert Back,Deque,,,,40931259.0,ns,8652
Insert Back,Deque,,,,41679271.0,ns,8858
Insert Back,Deque,,,,42560462.0,ns,9064
Insert Back,Deque,,,,43398823.0,ns,9270
Insert Back,Deque,,,,44633702.0,ns,9476
Insert Back,Deque,,,,45295578.0,ns,9682
Insert Back,Deque,,,,47135637.0,ns,9888
Insert Back,Deque,,,,53025471.0,ns,10094
Insert Back,Deque,,,,50951798.0,ns,10300
Insert Back,Deque,,,,49797596.0,ns,10506
Insert Back,Deque,,,,51356434.0,ns,10712
Insert Back,Deque,,,,51553796.0,ns,10918
Insert Back,Deque,,,,54279508.0,ns,11124
Insert Back,Deque,,,,53089645.0,ns,11330
Insert Back,Deque,,,,54177938.0,ns,11536
Insert Back,Deque,,,,59508749.0,ns,11742
Insert Back,Deque,,,,62017749.0,ns,11948
Insert Back,Deque,,,,57299388.0,ns,12154
Insert Back,Deque,,,,58093920.0,ns,12360
Insert Back,Deque,,,,58645929.0,ns,12566
Insert Back,Deque,,,,59884795.0,ns,12772
Insert Back,Deque,,,,60190933.0,ns,12978
Insert Back,Deque,,,,62231325.0,ns,13184
Insert Back,Deque,,,,62910626.0,ns,13390
Insert Back,Deque,,,,64606090.0,ns,13596
Insert Back,Deque,,,,66775773.0,ns,13802
Insert Back,Deque,,,,65173368.0,ns,14008
Insert Back,Deque,,,,66810183.0,ns,14214
Insert Back,Deque,,,,68353237.0,ns,14420
Insert Back,Deque,,,,68987014.0,ns,14626
Insert Back,Deque,,,,69789052.0,ns,14832
Insert Back,Deque,,,,70267223.0,ns,15038
Insert Back,Deque,,,,72550341.0,ns,15244
Insert Back,Deque,,,,72572071.0,ns,15450
Insert Back,Deque,,,,72902967.0,ns,15656
Insert Back,Deque,,,,74183438.0,ns,15862
Insert Back,Deque,,,,77269345.0,ns,16068
Insert Back,Deque,,,,79737124.0,ns,16274
Insert Back,Deque,,,,74249937.0,ns,16480
Insert Back,Deque,,,,77853109.0,ns,16686
Insert Back,Deque,,,,79622774.0,ns,16892
Insert Back,Deque,,,,81657728.0,ns,17098
Insert Back,Deque,,,,81746398.0,ns,17304
Insert Back,Deque,,,,82421794.0,ns,17510
Insert Back,Deque,,,,82756012.0,ns,17716
Insert Back,Deque,,,,83759575.0,ns,17922
Insert Back,Deque,,,,84005937.0,ns,18128
Insert Back,Deque,,,,84864700.0,ns,18334
Insert Back,Deque,,,,85197898.0,ns,18540
Insert Back,Deque,,,,86191548.0,ns,18746
Insert Back,Deque,,,,89427663.0,ns,18952
Insert Back,Deque,,,,92287187.0,ns,19158
Insert Back,Deque,,,,95179452.0,ns,19364
Insert Back,Deque,,,,96096208.0,ns,19570
Insert Back,Deque,,,,95909426.0,ns,19776
Insert Back,Deque,,,,98334749.0,ns,19982
Insert Back,Deque,,,,107255522.0,ns,20188
Insert Back,Deque,,,,103549110.0,ns,20394
Insert Back,Deque,,,,103662492.0,ns,20600
