group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert Back,List,,,,1000992.0,ns,35
Insert Back,List,,,,2004726.0,ns,70
Insert Back,List,,,,3006223.0,ns,105
Insert Back,List,,,,4008217.0,ns,140
Insert Back,List,,,,5021580.0,ns,175
Insert Back,List,,,,6217867.0,ns,210
Insert Back,List,,,,7392698.0,ns,245
Insert Back,List,,,,8221613.0,ns,280
Insert Back,List,,,,9022589.0,ns,315
Insert Back,List,,,,10204408.0,ns,350
Insert Back,List,,,,11023529.0,ns,385
Insert Back,List,,,,12014222.0,ns,420
Insert Back,List,,,,13044795.0,ns,455
Insert Back,List,,,,14205168.0,ns,490
Insert Back,List,,,,15488837.0,ns,525
Insert Back,List,,,,16930771.0,ns,560
Insert Back,List,,,,17628989.0,ns,595
Insert Back,List,,,,18262442.0,ns,630
Insert Back,List,,,,19051965.0,ns,665
Insert Back,List,,,,20185538.0,ns,700
Insert Back,List,,,,21231378.0,ns,735
Insert Back,List,,,,22268889.0,ns,770
Insert Back,List,,,,23381507.0,ns,805
Insert Back,List,,,,24056077.0,ns,840
Insert Back,List,,,,25087358.0,ns,875
Insert Back,List,,,,26109252.0,ns,910
Insert Back,List,,,,27214097.0,ns,945
Insert Back,List,,,,28100875.0,ns,980
Insert Back,List,,,,29120659.0,ns,1015
Insert Back,List,,,,30206243.0,ns,1050
Insert Back,List,,,,31188758.0,ns,1085
Insert Back,List,,,,32129749.0,ns,1120
Insert Back,List,,,,33270036.0,ns,1155
Insert Back,List,,,,34179019.0,ns,1190
Insert Back,List,,,,35694520.0,ns,1225
Insert Back,List,,,,36182090.0,ns,1260
Insert Back,List,,,,37580272.0,ns,1295
Insert Back,List,,,,38945107.0,ns,1330
Insert Back,List,,,,39168632.0,ns,1365
Insert Back,List,,,,40315309.0,ns,1400
Insert Back,List,,,,41210288.0,ns,1435
Insert Back,List,,,,42311369.0,ns,1470
Insert Back,List,,,,43226114.0,ns,1505
Insert Back,List,,,,44165405.0,ns,1540
Insert Back,List,,,,45247839.0,ns,1575
Insert Back,List,,,,46137948.0,ns,1610
Insert Back,List,,,,48608898.0,ns,1645
Insert Back,List,,,,49336418.0,ns,1680
Insert Back,List,,,,49466328.0,ns,1715
Insert Back,List,,,,50398919.0,ns,1750
Insert Back,List,,,,51288933.0,ns,1785
Insert Back,List,,,,52275586.0,ns,1820
Insert Back,List,,,,53201025.0,ns,1855
Insert Back,List,,,,54416357.0,ns,1890
Insert Back,List,,,,56381255.0,ns,1925
Insert Back,List,,,,57359982.0,ns,1960
Insert Back,List,,,,57661579.0,ns,1995
Insert Back,List,,,,58806372.0,ns,2030
Insert Back,List,,,,61357428.0,ns,2065
Insert Back,List,,,,60965569.0,ns,2100
Insert Back,List,,,,61382608.0,ns,2135
Insert Back,List,,,,62535346.0,ns,2170
Insert Back,List,,,,63282151.0,ns,2205
Insert Back,List,,,,64401954.0,ns,2240
Insert Back,List,,,,67052749.0,ns,2275
Insert Back,List,,,,67497472.0,ns,2310
Insert Back,List,,,,67621048.0,ns,2345
Insert Back,List,,,,68458482.0,ns,2380
Insert Back,List,,,,69314391.0,ns,2415
Insert Back,List,,,,70445942.0,ns,2450
Insert Back,List,,,,71419691.0,ns,2485
Insert Back,List,,,,73451694.0,ns,2520
Insert Back,List,,,,73735794.0,ns,2555
Insert Back,List,,,,74747189.0,ns,2590
Insert Back,List,,,,75410948.0,ns,2625
Insert Back,List,,,,76253645.0,ns,2660
Insert Back,List,,,,77490426.0,ns,2695
Insert Back,List,,,,78429261.0,ns,2730
Insert Back,List,,,,81747697.0,ns,2765
Insert Back,List,,,,80721220.0,ns,2800
Insert Back,List,,,,82555025.0,ns,2835
Insert Back,List,,,,83233209.0,ns,2870
Insert Back,List,,,,84669632.0,ns,2905
Insert Back,List,,,,86124951.0,ns,2940
Insert Back,List,,,,88019550.0,ns,2975
Insert Back,List,,,,88255405.0,ns,3010
Insert Back,List,,,,88402866.0,ns,3045
Insert Back,List,,,,88682180.0,ns,3080
Insert Back,List,,,,89390588.0,ns,3115
Insert Back,List,,,,93226032.0,ns,3150
Insert Back,List,,,,92904863.0,ns,3185
Insert Back,List,,,,92491312.0,ns,3220
Insert Back,List,,,,93415548.0,ns,3255
Insert Back,List,,,,94445974.0,ns,3290
Insert Back,List,,,,95756983.0,ns,3325
Insert Back,List,,,,97386793.0,ns,3360
Insert Back,List,,,,98218750.0,ns,3395
Insert Back,List,,,,98404401.0,ns,3430
Insert Back,List,,,,99724988.0,ns,3465
Insert Back,List,,,,100450910.0,ns,3500
