group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert Back,List,,,,1000168.0,ns,34
Insert Back,List,,,,1990772.0,ns,68
Insert Back,List,,,,2985033.0,ns,102
Insert Back,List,,,,3995163.0,ns,136
Insert Back,List,,,,5057424.0,ns,170
Insert Back,List,,,,6078499.0,ns,204
Insert Back,List,,,,7029866.0,ns,238
Insert Back,List,,,,8310239.0,ns,272
Insert Back,List,,,,9000547.0,ns,306
Insert Back,List,,,,9940831.0,ns,340
Insert Back,List,,,,10768334.0,ns,374
Insert Back,List,,,,11797137.0,ns,408
Insert Back,List,,,,12865590.0,ns,442
Insert Back,List,,,,13798892.0,ns,476
Insert Back,List,,,,14897632.0,ns,510
Insert Back,List,,,,15502993.0,ns,544
Insert Back,List,,,,16641522.0,ns,578
Insert Back,List,,,,17567377.0,ns,612
Insert Back,List,,,,18405866.0,ns,646
Insert Back,List,,,,19665973.0,ns,680
Insert Back,List,,,,20668803.0,ns,714
Insert Back,List,,,,21653506.0,ns,748
Insert Back,List,,,,22937343.0,ns,782
Insert Back,List,,,,23851162.0,ns,816
Insert Back,List,,,,24613051.0,ns,850
Insert Back,List,,,,25694147.0,ns,884
Insert Back,List,,,,26535877.0,ns,918
Insert Back,List,,,,27804815.0,ns,952
Insert Back,List,,,,28534599.0,ns,986
Insert Back,List,,,,29549105.0,ns,1020
Insert Back,List,,,,30200432.0,ns,1054
Insert Back,List,,,,31561256.0,ns,1088
Insert Back,List,,,,32289675.0,ns,1122
Insert Back,List,,,,33349688.0,ns,1156
Insert Back,List,,,,34482759.0,ns,1190
Insert Back,List,,,,35476958.0,ns,1224
Insert Back,List,,,,36213728.0,ns,1258
Insert Back,List,,,,37187029.0,ns,1292
Insert Back,List,,,,37829679.0,ns,1326
Insert Back,List,,,,39279500.0,ns,1360
Insert Back,List,,,,40232631.0,ns,1394
Insert Back,List,,,,41104381.0,ns,1428
Insert Back,List,,,,42284958.0,ns,1462
Insert Back,List,,,,44375693.0,ns,1496
Insert Back,List,,,,44746198.0,ns,1530
Insert Back,List,,,,45241502.0,ns,1564
Insert Back,List,,,,46429300.0,ns,1598
Insert Back,List,,,,48876720.0,ns,1632
Insert Back,List,,,,49039895.0,ns,1666
Insert Back,List,,,,49681824.0,ns,1700
Insert Back,List,,,,50067088.0,ns,1734
Insert Back,List,,,,50816928.0,ns,1768
Insert Back,List,,,,51894916.0,ns,1802
Insert Back,List,,,,52692343.0,ns,1836
Insert Back,List,,,,54410485.0,ns,1870
Insert Back,List,,,,54565494.0,ns,1904
Insert Back,List,,,,55380075.0,ns,1938
Insert Back,List,,,,56575605.0,ns,1972
Insert Back,List,,,,58187619.0,ns,2006
Insert Back,List,,,,58660111.0,ns,2040
Insert Back,List,,,,59685715.0,ns,2074
Insert Back,List,,,,60272426.0,ns,2108
Insert Back,List,,,,62695434.0,ns,2142
Insert Back,List,,,,62724552.0,ns,2176
Insert Back,List,,,,63896544.0,ns,2210
Insert Back,List,,,,67140292.0,ns,2244
Insert Back,List,,,,66391549.0,ns,2278
Insert Back,List,,,,66773384.0,ns,2312
Insert Back,List,,,,67458165.0,ns,2346
Insert Back,List,,,,68533968.0,ns,2380
Insert Back,List,,,,69339694.0,ns,2414
Insert Back,List,,,,69901617.0,ns,2448
Insert Back,List,,,,71294676.0,ns,2482
Insert Back,List,,,,71746683.0,ns,2516
Insert Back,List,,,,72774359.0,ns,2550
Insert Back,List,,,,73953535.0,ns,2584
Insert Back,List,,,,75163189.0,ns,2618
Insert Back,List,,,,76679153.0,ns,2652
Insert Back,List,,,,76915512.0,ns,2686
Insert Back,List,,,,80264377.0,ns,2720
Insert Back,List,,,,79229213.0,ns,2754
Insert Back,List,,,,79839108.0,ns,2788
Insert Back,List,,,,80790769.0,ns,2822
Insert Back,List,,,,82143599.0,ns,2856
Insert Back,List,,,,82708802.0,ns,2890
Insert Back,List,,,,84112035.0,ns,2924
Insert Back,List,,,,84289190.0,ns,2958
Insert Back,List,,,,85630627.0,ns,2992
Insert Back,List,,,,86396370.0,ns,3026
Insert Back,List,,,,88974450.0,ns,3060
Insert Back,List,,,,88736602.0,ns,3094
Insert Back,List,,,,92404658.0,ns,3128
Insert Back,List,,,,91249386.0,ns,3162
Insert Back,List,,,,91621343.0,ns,3196
Insert Back,List,,,,92239867.0,ns,3230
Insert Back,List,,,,93535125.0,ns,3264
Insert Back,List,,,,94238335.0,ns,3298
Insert Back,List,,,,95039202.0,ns,3332
Insert Back,List,,,,96798831.0,ns,3366
Insert Back,List,,,,97780369.0,ns,3400
