group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert Back,Vec,,,,986915.0,ns,208
Insert Back,Vec,,,,1980737.0,ns,416
Insert Back,Vec,,,,2956429.0,ns,624
Insert Back,Vec,,,,3923602.0,ns,832
Insert Back,Vec,,,,4988732.0,ns,1040
Insert Back,Vec,,,,5950778.0,ns,1248
Insert Back,Vec,,,,7036821.0,ns,1456
Insert Back,Vec,,,,7887189.0,ns,1664
Insert Back,Vec,,,,8709170.0,ns,1872
Insert Back,Vec,,,,9789585.0,ns,2080
Insert Back,Vec,,,,10955805.0,ns,2288
Insert Back,Vec,,,,11857459.0,ns,2496
Insert Back,Vec,,,,12752012.0,ns,2704
Insert Back,Vec,,,,13664379.0,ns,2912
Insert Back,Vec,,,,14434710.0,ns,3120
Insert Back,Vec,,,,15402808.0,ns,3328
Insert Back,Vec,,,,16377097.0,ns,3536
Insert Back,Vec,,,,17808285.0,ns,3744
Insert Back,Vec,,,,18759979.0,ns,3952
Insert Back,Vec,,,,19644088.0,ns,4160
Insert Back,Vec,,,,20761399.0,ns,4368
Insert Back,Vec,,,,21321542.0,ns,4576
Insert Back,Vec,,,,22266779.0,ns,4784
Insert Back,Vec,,,,23383485.0,ns,4992
Insert Back,Vec,,,,24155726.0,ns,5200
Insert Back,Vec,,,,25292234.0,ns,5408
Insert Back,Vec,,,,26395131.0,ns,5616
Insert Back,Vec,,,,27081164.0,ns,5824
Insert Back,Vec,,,,27940246.0,ns,6032
Insert Back,Vec,,,,29447699.0,ns,6240
Insert Back,Vec,,,,30158061.0,ns,6448
Insert Back,Vec,,,,30999534.0,ns,6656
Insert Back,Vec,,,,32370096.0,ns,6864
Insert Back,Vec,,,,33274577.0,ns,7072
Insert Back,Vec,,,,35096833.0,ns,7280
Insert Back,Vec,,,,35427938.0,ns,7488
Insert Back,Vec,,,,36464130.0,ns,7696
Insert Back,Vec,,,,37305097.0,ns,7904
Insert Back,Vec,,,,38339914.0,ns,8112
Insert Back,Vec,,,,38829222.0,ns,8320
Insert Back,Vec,,,,40442116.0,ns,8528
Insert Back,Vec,,,,41117384.0,ns,8736
Insert Back,Vec,,,,41907868.0,ns,8944
Insert Back,Vec,,,,43270433.0,ns,9152
Insert Back,Vec,,,,44000582.0,ns,9360
Insert Back,Vec,,,,45055077.0,ns,9568
Insert Back,Vec,,,,45438860.0,ns,9776
Insert Back,Vec,,,,47140670.0,ns,9984
Insert Back,Vec,,,,48806029.0,ns,10192
Insert Back,Vec,,,,49336682.0,ns,10400
Insert Back,Vec,,,,50137073.0,ns,10608
Insert Back,Vec,,,,50711127.0,ns,10816
Insert Back,Vec,,,,51675008.0,ns,11024
Insert Back,Vec,,,,52831638.0,ns,11232
Insert Back,Vec,,,,53631589.0,ns,11440
Insert Back,Vec,,,,54793415.0,ns,11648
Insert Back,Vec,,,,56907671.0,ns,11856
Insert Back,Vec,,,,57324150.0,ns,12064
Insert Back,Vec,,,,58202122.0,ns,12272
Insert Back,Vec,,,,58528975.0,ns,12480
Insert Back,Vec,,,,59560588.0,ns,12688
Insert Back,Vec,,,,60876915.0,ns,12896
Insert Back,Vec,,,,60903440.0,ns,13104
Insert Back,Vec,,,,62703187.0,ns,13312
Insert Back,Vec,,,,63488653.0,ns,13520
Insert Back,Vec,,,,64366243.0,ns,13728
Insert Back,Vec,,,,65368620.0,ns,13936
Insert Back,Vec,,,,66483955.0,ns,14144
Insert Back,Vec,,,,66752452.0,ns,14352
Insert Back,Vec,,,,68678576.0,ns,14560
Insert Back,Vec,,,,69777681.0,ns,14768
Insert Back,Vec,,,,70176188.0,ns,14976
Insert Back,Vec,,,,72257076.0,ns,15184
Insert Back,Vec,,,,72462375.0,ns,15392
Insert Back,Vec,,,,73545798.0,ns,15600
Insert Back,Vec,,,,74626263.0,ns,15808
Insert Back,Vec,,,,74809048.0,ns,16016
Insert Back,Vec,,,,77076913.0,ns,16224
Insert Back,Vec,,,,76855322.0,ns,16432
Insert Back,Vec,,,,77990006.0,ns,16640
Insert Back,Vec,,,,79508112.0,ns,16848
Insert Back,Vec,,,,80169752.0,ns,17056
Insert Back,Vec,,,,81416570.0,ns,17264
Insert Back,Vec,,,,81721274.0,ns,17472
Insert Back,Vec,,,,83047663.0,ns,17680
Insert Back,Vec,,,,89770022.0,ns,17888
Insert Back,Vec,,,,85781794.0,ns,18096
Insert Back,Vec,,,,86069474.0,ns,18304
Insert Back,Vec,,,,87126991.0,ns,18512
Insert Back,Vec,,,,87956900.0,ns,18720
Insert Back,Vec,,,,88907415.0,ns,18928
Insert Back,Vec,,,,90003895.0,ns,19136
Insert Back,Vec,,,,90781760.0,ns,19344
Insert Back,Vec,,,,91381564.0,ns,19552
Insert Back,Vec,,,,92589432.0,ns,19760
Insert Back,Vec,,,,93738350.0,ns,19968
Insert Back,Vec,,,,95786863.0,ns,20176
Insert Back,Vec,,,,95793037.0,ns,20384
Insert Back,Vec,,,,98022806.0,ns,20592
Insert Back,Vec,,,,97879899.0,ns,20800
