group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert Front,Deque,,,,998602.0,ns,175
Insert Front,Deque,,,,2007649.0,ns,350
Insert Front,Deque,,,,2996690.0,ns,525
Insert Front,Deque,,,,4028860.0,ns,700
Insert Front,Deque,,,,4893781.0,ns,875
Insert Front,Deque,,,,6032050.0,ns,1050
Insert Front,Deque,,,,6982980.0,ns,1225
Insert Front,Deque,,,,7932921.0,ns,1400
Insert Front,Deque,,,,9005048.0,ns,1575
Insert Front,Deque,,,,10049205.0,ns,1750
Insert Front,Deque,,,,10983043.0,ns,1925
Insert Front,Deque,,,,11934017.0,ns,2100
Insert Front,Deque,,,,12954708.0,ns,2275
Insert Front,Deque,,,,13949149.0,ns,2450
Insert Front,Deque,,,,14985797.0,ns,2625
Insert Front,Deque,,,,15648593.0,ns,2800
Insert Front,Deque,,,,16868553.0,ns,2975
Insert Front,Deque,,,,17733352.0,ns,3150
Insert Front,Deque,,,,18756096.0,ns,3325
Insert Front,Deque,,,,19833222.0,ns,3500
Insert Front,Deque,,,,20730000.0,ns,3675
Insert Front,Deque,,,,21730854.0,ns,3850
Insert Front,Deque,,,,22644440.0,ns,4025
Insert Front,Deque,,,,23540517.0,ns,4200
Insert Front,Deque,,,,24760245.0,ns,4375
Insert Front,Deque,,,,25761652.0,ns,4550
Insert Front,Deque,,,,26617588.0,ns,4725
Insert Front,Deque,,,,27542418.0,ns,4900
Insert Front,Deque,,,,28769264.0,ns,5075
Insert Front,Deque,,,,29570730.0,ns,5250
Insert Front,Deque,,,,30377517.0,ns,5425
Insert Front,Deque,,,,31562090.0,ns,5600
Insert Front,Deque,,,,32422001.0,ns,5775
Insert Front,Deque,,,,33402969.0,ns,5950
Insert Front,Deque,,,,34519478.0,ns,6125
Insert Front,Deque,,,,35427096.0,ns,6300
Insert Front,Deque,,,,36392239.0,ns,6475
Insert Front,Deque,,,,37257799.0,ns,6650
Insert Front,Deque,,,,38362753.0,ns,6825
Insert Front,Deque,,,,39431143.0,ns,7000
Insert Front,Deque,,,,40432993.0,ns,7175
Insert Front,Deque,,,,41252615.0,ns,7350
Insert Front,Deque,,,,42220483.0,ns,7525
Insert Front,Deque,,,,43737917.0,ns,7700
Insert Front,Deque,,,,44764083.0,ns,7875
Insert Front,Deque,,,,45583199.0,ns,8050
Insert Front,Deque,,,,46563059.0,ns,8225
Insert Front,Deque,,,,47696009.0,ns,8400
Insert Front,Deque,,,,48303477.0,ns,8575
Insert Front,Deque,,,,49246553.0,ns,8750
Insert Front,Deque,,,,50689064.0,ns,8925
Insert Front,Deque,,,,50980228.0,ns,9100
Insert Front,Deque,,,,52523649.0,ns,9275
Insert Front,Deque,,,,52938119.0,ns,9450
Insert Front,Deque,,,,54238829.0,ns,9625
Insert Front,Deque,,,,55096357.0,ns,9800
Insert Front,Deque,,,,56150395.0,ns,9975
Insert Front,Deque,,,,56825487.0,ns,10150
Insert Front,Deque,,,,57834888.0,ns,10325
Insert Front,Deque,,,,59009605.0,ns,10500
Insert Front,Deque,,,,59960836.0,ns,10675
Insert Front,Deque,,,,61457637.0,ns,10850
Insert Front,Deque,,,,62718884.0,ns,11025
Insert Front,Deque,,,,63780057.0,ns,11200
Insert Front,Deque,,,,64384812.0,ns,11375
Insert Front,Deque,,,,65666106.0,ns,11550
Insert Front,Deque,,,,66619512.0,ns,11725
Insert Front,Deque,,,,67347768.0,ns,11900
Insert Front,Deque,,,,68334194.0,ns,12075
Insert Front,Deque,,,,69376996.0,ns,12250
Insert Front,Deque,,,,70056139.0,ns,12425
Insert Front,Deque,,,,70943438.0,ns,12600
Insert Front,Deque,,,,72276671.0,ns,12775
Insert Front,Deque,,,,73270574.0,ns,12950
Insert Front,Deque,,,,73976870.0,ns,13125
Insert Front,Deque,,,,74805409.0,ns,13300
Insert Front,Deque,,,,76383687.0,ns,13475
Insert Front,Deque,,,,77786936.0,ns,13650
Insert Front,Deque,,,,78331449.0,ns,13825
Insert Front,Deque,,,,79337425.0,ns,14000
Insert Front,Deque,,,,79783042.0,ns,14175
Insert Front,Deque,,,,81093646.0,ns,14350
Insert Front,Deque,,,,81848642.0,ns,14525
Insert Front,Deque,,,,82708679.0,ns,14700
Insert Front,Deque,,,,83779563.0,ns,14875
Insert Front,Deque,,,,85100449.0,ns,15050
Insert Front,Deque,,,,86506593.0,ns,15225
Insert Front,Deque,,,,87082575.0,ns,15400
Insert Front,Deque,,,,87963317.0,ns,15575
Insert Front,Deque,,,,89767360.0,ns,15750
Insert Front,Deque,,,,90264274.0,ns,15925
Insert Front,Deque,,,,90857807.0,ns,16100
Insert Front,Deque,,,,91654488.0,ns,16275
Insert Front,Deque,,,,92553016.0,ns,16450
Insert Front,Deque,,,,93579720.0,ns,16625
Insert Front,Deque,,,,94617545.0,ns,16800
Insert Front,Deque,,,,95654893.0,ns,16975
Insert Front,Deque,,,,96745877.0,ns,17150
Insert Front,Deque,,,,97371831.0,ns,17325
Insert Front,Deque,,,,98921143.0,ns,17500
