group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert Front,Deque,,,,988812.0,ns,178
Insert Front,Deque,,,,1977133.0,ns,356
Insert Front,Deque,,,,2986311.0,ns,534
Insert Front,Deque,,,,3843094.0,ns,712
Insert Front,Deque,,,,4948528.0,ns,890
Insert Front,Deque,,,,5914556.0,ns,1068
Insert Front,Deque,,,,6904118.0,ns,1246
Insert Front,Deque,,,,7891973.0,ns,1424
Insert Front,Deque,,,,8863834.0,ns,1602
Insert Front,Deque,,,,9903264.0,ns,1780
Insert Front,Deque,,,,10822502.0,ns,1958
Insert Front,Deque,,,,11857678.0,ns,2136
Insert Front,Deque,,,,12675315.0,ns,2314
Insert Front,Deque,,,,13787609.0,ns,2492
Insert Front,Deque,,,,14901246.0,ns,2670
Insert Front,Deque,,,,16097954.0,ns,2848
Insert Front,Deque,,,,16978405.0,ns,3026
Insert Front,Deque,,,,17829501.0,ns,3204
Insert Front,Deque,,,,18737723.0,ns,3382
Insert Front,Deque,,,,19717768.0,ns,3560
Insert Front,Deque,,,,20749696.0,ns,3738
Insert Front,Deque,,,,21715962.0,ns,3916
Insert Front,Deque,,,,22787629.0,ns,4094
Insert Front,Deque,,,,23747993.0,ns,4272
Insert Front,Deque,,,,24604666.0,ns,4450
Insert Front,Deque,,,,25585023.0,ns,4628
Insert Front,Deque,,,,26386463.0,ns,4806
Insert Front,Deque,,,,27860625.0,ns,4984
Insert Front,Deque,,,,28858803.0,ns,5162
Insert Front,Deque,,,,29737213.0,ns,5340
Insert Front,Deque,,,,31356787.0,ns,5518
Insert Front,Deque,,,,32166561.0,ns,5696
Insert Front,Deque,,,,33354022.0,ns,5874
Insert Front,Deque,,,,34250908.0,ns,6052
Insert Front,Deque,,,,35650441.0,ns,6230
Insert Front,Deque,,,,36564426.0,ns,6408
Insert Front,Deque,,,,37646767.0,ns,6586
Insert Front,Deque,,,,38739872.0,ns,6764
Insert Front,Deque,,,,39953282.0,ns,6942
Insert Front,Deque,,,,40843034.0,ns,7120
Insert Front,Deque,,,,41710536.0,ns,7298
Insert Front,Deque,,,,42259251.0,ns,7476
Insert Front,Deque,,,,42768841.0,ns,7654
Insert Front,Deque,,,,43798841.0,ns,7832
Insert Front,Deque,,,,45391212.0,ns,8010
Insert Front,Deque,,,,46279295.0,ns,8188
Insert Front,Deque,,,,47510321.0,ns,8366
Insert Front,Deque,,,,48699568.0,ns,8544
Insert Front,Deque,,,,49216152.0,ns,8722
Insert Front,Deque,,,,49752631.0,ns,8900
Insert Front,Deque,,,,50794647.0,ns,9078
Insert Front,Deque,,,,51483146.0,ns,9256
Insert Front,Deque,,,,52604815.0,ns,9434
Insert Front,Deque,,,,53454724.0,ns,9612
Insert Front,Deque,,,,54045850.0,ns,9790
Insert Front,Deque,,,,55143126.0,ns,9968
Insert Front,Deque,,,,56918692.0,ns,10146
Insert Front,Deque,,,,57831478.0,ns,10324
Insert Front,Deque,,,,58020217.0,ns,10502
Insert Front,Deque,,,,59197567.0,ns,10680
Insert Front,Deque,,,,60877591.0,ns,10858
Insert Front,Deque,,,,61863539.0,ns,11036
Insert Front,Deque,,,,63885075.0,ns,11214
Insert Front,Deque,,,,64835396.0,ns,11392
Insert Front,Deque,,,,66209399.0,ns,11570
Insert Front,Deque,,,,67391061.0,ns,11748
Insert Front,Deque,,,,67757075.0,ns,11926
Insert Front,Deque,,,,67863090.0,ns,12104
Insert Front,Deque,,,,68488421.0,ns,12282
Insert Front,Deque,,,,69055090.0,ns,12460
Insert Front,Deque,,,,70263040.0,ns,12638
Insert Front,Deque,,,,71217683.0,ns,12816
Insert Front,Deque,,,,71748665.0,ns,12994
Insert Front,Deque,,,,72721552.0,ns,13172
Insert Front,Deque,,,,74155353.0,ns,13350
Insert Front,Deque,,,,75148454.0,ns,13528
Insert Front,Deque,,,,76090610.0,ns,13706
Insert Front,Deque,,,,76911132.0,ns,13884
Insert Front,Deque,,,,78077958.0,ns,14062
Insert Front,Deque,,,,79132240.0,ns,14240
Insert Front,Deque,,,,80012299.0,ns,14418
Insert Front,Deque,,,,80728408.0,ns,14596
Insert Front,Deque,,,,81457530.0,ns,14774
Insert Front,Deque,,,,82370199.0,ns,14952
Insert Front,Deque,,,,83387704.0,ns,15130
Insert Front,Deque,,,,84469341.0,ns,15308
Insert Front,Deque,,,,85337291.0,ns,15486
Insert Front,Deque,,,,86797620.0,ns,15664
Insert Front,Deque,,,,89824308.0,ns,15842
Insert Front,Deque,,,,90709141.0,ns,16020
Insert Front,Deque,,,,92971863.0,ns,16198
Insert Front,Deque,,,,92476438.0,ns,16376
Insert Front,Deque,,,,91640724.0,ns,16554
Insert Front,Deque,,,,93238033.0,ns,16732
Insert Front,Deque,,,,95300366.0,ns,16910
Insert Front,Deque,,,,96722298.0,ns,17088
Insert Front,Deque,,,,97659461.0,ns,17266
Insert Front,Deque,,,,98122199.0,ns,17444
Insert Front,Deque,,,,102246498.0,ns,17622
Insert Front,Deque,,,,103439053.0,ns,17800
