group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert Front,List,,,,1035957.0,ns,20
Insert Front,List,,,,2096326.0,ns,40
Insert Front,List,,,,3147006.0,ns,60
Insert Front,List,,,,4152101.0,ns,80
Insert Front,List,,,,5215330.0,ns,100
Insert Front,List,,,,6532969.0,ns,120
Insert Front,List,,,,7376642.0,ns,140
Insert Front,List,,,,8570530.0,ns,160
Insert Front,List,,,,9608693.0,ns,180
Insert Front,List,,,,10600219.0,ns,200
Insert Front,List,,,,11553562.0,ns,220
Insert Front,List,,,,12520862.0,ns,240
Insert Front,List,,,,13543795.0,ns,260
Insert Front,List,,,,14405029.0,ns,280
Insert Front,List,,,,15501873.0,ns,300
Insert Front,List,,,,16601670.0,ns,320
Insert Front,List,,,,17525797.0,ns,340
Insert Front,List,,,,18691493.0,ns,360
Insert Front,List,,,,19537151.0,ns,380
Insert Front,List,,,,20830606.0,ns,400
Insert Front,List,,,,21532913.0,ns,420
Insert Front,List,,,,22686594.0,ns,440
Insert Front,List,,,,23827629.0,ns,460
Insert Front,List,,,,24579813.0,ns,480
Insert Front,List,,,,25770072.0,ns,500
Insert Front,List,,,,27034889.0,ns,520
Insert Front,List,,,,27988116.0,ns,540
Insert Front,List,,,,28840932.0,ns,560
Insert Front,List,,,,29596354.0,ns,580
Insert Front,List,,,,30717565.0,ns,600
Insert Front,List,,,,31991753.0,ns,620
Insert Front,List,,,,32682988.0,ns,640
Insert Front,List,,,,33853406.0,ns,660
Insert Front,List,,,,34771225.0,ns,680
Insert Front,List,,,,36118679.0,ns,700
Insert Front,List,,,,37153291.0,ns,720
Insert Front,List,,,,38000113.0,ns,740
Insert Front,List,,,,39029832.0,ns,760
Insert Front,List,,,,40727134.0,ns,780
Insert Front,List,,,,42582170.0,ns,800
Insert Front,List,,,,42694907.0,ns,820
Insert Front,List,,,,43230620.0,ns,840
Insert Front,List,,,,44306406.0,ns,860
Insert Front,List,,,,45395915.0,ns,880
Insert Front,List,,,,46627297.0,ns,900
Insert Front,List,,,,47754130.0,ns,920
Insert Front,List,,,,48223983.0,ns,940
Insert Front,List,,,,49703525.0,ns,960
Insert Front,List,,,,50439109.0,ns,980
Insert Front,List,,,,51366645.0,ns,1000
Insert Front,List,,,,52677889.0,ns,1020
Insert Front,List,,,,53382158.0,ns,1040
Insert Front,List,,,,54501652.0,ns,1060
Insert Front,List,,,,55486324.0,ns,1080
Insert Front,List,,,,56457179.0,ns,1100
Insert Front,List,,,,57349935.0,ns,1120
Insert Front,List,,,,58374755.0,ns,1140
Insert Front,List,,,,59705509.0,ns,1160
Insert Front,List,,,,61850129.0,ns,1180
Insert Front,List,,,,62860660.0,ns,1200
Insert Front,List,,,,62713168.0,ns,1220
Insert Front,List,,,,63376746.0,ns,1240
Insert Front,List,,,,64658826.0,ns,1260
Insert Front,List,,,,66316120.0,ns,1280
Insert Front,List,,,,66594872.0,ns,1300
Insert Front,List,,,,67320044.0,ns,1320
Insert Front,List,,,,68801044.0,ns,1340
Insert Front,List,,,,70543664.0,ns,1360
Insert Front,List,,,,71022210.0,ns,1380
Insert Front,List,,,,71790633.0,ns,1400
Insert Front,List,,,,72844427.0,ns,1420
Insert Front,List,,,,73774567.0,ns,1440
Insert Front,List,,,,74906707.0,ns,1460
Insert Front,List,,,,77935294.0,ns,1480
Insert Front,List,,,,77320930.0,ns,1500
Insert Front,List,,,,78007227.0,ns,1520
Insert Front,List,,,,79203343.0,ns,1540
Insert Front,List,,,,79899797.0,ns,1560
Insert Front,List,,,,81159432.0,ns,1580
Insert Front,List,,,,81966205.0,ns,1600
Insert Front,List,,,,83204519.0,ns,1620
Insert Front,List,,,,84306512.0,ns,1640
Insert Front,List,,,,84910912.0,ns,1660
Insert Front,List,,,,86223814.0,ns,1680
Insert Front,List,,,,87355102.0,ns,1700
Insert Front,List,,,,89947133.0,ns,1720
Insert Front,List,,,,91349511.0,ns,1740
Insert Front,List,,,,91216869.0,ns,1760
Insert Front,List,,,,91345769.0,ns,1780
Insert Front,List,,,,92674882.0,ns,1800
Insert Front,List,,,,94839251.0,ns,1820
Insert Front,List,,,,95472172.0,ns,1840
Insert Front,List,,,,95980843.0,ns,1860
Insert Front,List,,,,96531983.0,ns,1880
Insert Front,List,,,,97579808.0,ns,1900
Insert Front,List,,,,98499299.0,ns,1920
Insert Front,List,,,,101756730.0,ns,1940
Insert Front,List,,,,100250179.0,ns,1960
Insert Front,List,,,,101454336.0,ns,1980
Insert Front,List,,,,102675175.0,ns,2000
