group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert Front,Vec,,,,1026303.0,ns,178
Insert Front,Vec,,,,1965434.0,ns,356
Insert Front,Vec,,,,2983614.0,ns,534
Insert Front,Vec,,,,3953639.0,ns,712
Insert Front,Vec,,,,4955323.0,ns,890
Insert Front,Vec,,,,5977916.0,ns,1068
Insert Front,Vec,,,,7088186.0,ns,1246
Insert Front,Vec,,,,7994104.0,ns,1424
Insert Front,Vec,,,,8953661.0,ns,1602
Insert Front,Vec,,,,9873532.0,ns,1780
Insert Front,Vec,,,,10843162.0,ns,1958
Insert Front,Vec,,,,11750349.0,ns,2136
Insert Front,Vec,,,,12838358.0,ns,2314
Insert Front,Vec,,,,13775604.0,ns,2492
Insert Front,Vec,,,,14764638.0,ns,2670
Insert Front,Vec,,,,15792639.0,ns,2848
Insert Front,Vec,,,,16947173.0,ns,3026
Insert Front,Vec,,,,17855408.0,ns,3204
Insert Front,Vec,,,,19984217.0,ns,3382
Insert Front,Vec,,,,19934415.0,ns,3560
Insert Front,Vec,,,,20829154.0,ns,3738
Insert Front,Vec,,,,22214208.0,ns,3916
Insert Front,Vec,,,,22804015.0,ns,4094
Insert Front,Vec,,,,23687879.0,ns,4272
Insert Front,Vec,,,,24710564.0,ns,4450
Insert Front,Vec,,,,26092959.0,ns,4628
Insert Front,Vec,,,,26939271.0,ns,4806
Insert Front,Vec,,,,27995265.0,ns,4984
Insert Front,Vec,,,,28669432.0,ns,5162
Insert Front,Vec,,,,29927054.0,ns,5340
Insert Front,Vec,,,,30799119.0,ns,5518
Insert Front,Vec,,,,31838044.0,ns,5696
Insert Front,Vec,,,,32754731.0,ns,5874
Insert Front,Vec,,,,33770055.0,ns,6052
Insert Front,Vec,,,,34736544.0,ns,6230
Insert Front,Vec,,,,35512018.0,ns,6408
Insert Front,Vec,,,,36585221.0,ns,6586
Insert Front,Vec,,,,37492406.0,ns,6764
Insert Front,Vec,,,,38560657.0,ns,6942
Insert Front,Vec,,,,40236782.0,ns,7120
Insert Front,Vec,,,,40881663.0,ns,7298
Insert Front,Vec,,,,42186560.0,ns,7476
Insert Front,Vec,,,,42621733.0,ns,7654
Insert Front,Vec,,,,43658469.0,ns,7832
Insert Front,Vec,,,,44431795.0,ns,8010
Insert Front,Vec,,,,45743497.0,ns,8188
Insert Front,Vec,,,,46360513.0,ns,8366
Insert Front,Vec,,,,47781115.0,ns,8544
Insert Front,Vec,,,,48406035.0,ns,8722
Insert Front,Vec,,,,49777209.0,ns,8900
Insert Front,Vec,,,,50420692.0,ns,9078
Insert Front,Vec,,,,52081712.0,ns,9256
Insert Front,Vec,,,,52575564.0,ns,9434
Insert Front,Vec,,,,53601227.0,ns,9612
Insert Front,Vec,,,,54554500.0,ns,9790
Insert Front,Vec,,,,55442997.0,ns,9968
Insert Front,Vec,,,,56498612.0,ns,10146
Insert Front,Vec,,,,57257277.0,ns,10324
Insert Front,Vec,,,,58030909.0,ns,10502
Insert Front,Vec,,,,59154066.0,ns,10680
Insert Front,Vec,,,,60381273.0,ns,10858
Insert Front,Vec,,,,61759723.0,ns,11036
Insert Front,Vec,,,,62339204.0,ns,11214
Insert Front,Vec,,,,63423731.0,ns,11392
Insert Front,Vec,,,,64314448.0,ns,11570
Insert Front,Vec,,,,65084279.0,ns,11748
Insert Front,Vec,,,,66189141.0,ns,11926
Insert Front,Vec,,,,67113447.0,ns,12104
Insert Front,Vec,,,,69283994.0,ns,12282
Insert Front,Vec,,,,69679474.0,ns,12460
Insert Front,Vec,,,,70497504.0,ns,12638
Insert Front,Vec,,,,71386254.0,ns,12816
Insert Front,Vec,,,,72588286.0,ns,12994
Insert Front,Vec,,,,73328702.0,ns,13172
Insert Front,Vec,,,,74291644.0,ns,13350
Insert Front,Vec,,,,75570047.0,ns,13528
Insert Front,Vec,,,,76175434.0,ns,13706
Insert Front,Vec,,,,77015413.0,ns,13884
Insert Front,Vec,,,,78025851.0,ns,14062
Insert Front,Vec,,,,79078476.0,ns,14240
Insert Front,Vec,,,,80058437.0,ns,14418
Insert Front,Vec,,,,81496878.0,ns,14596
Insert Front,Vec,,,,88627552.0,ns,14774
Insert Front,Vec,,,,83150814.0,ns,14952
Insert Front,Vec,,,,84447173.0,ns,15130
Insert Front,Vec,,,,85367049.0,ns,15308
Insert Front,Vec,,,,96418953.0,ns,15486
Insert Front,Vec,,,,82024195.0,ns,15664
Insert Front,Vec,,,,85117825.0,ns,15842
Insert Front,Vec,,,,87458279.0,ns,16020
Insert Front,Vec,,,,88690806.0,ns,16198
Insert Front,Vec,,,,90269218.0,ns,16376
Insert Front,Vec,,,,91443451.0,ns,16554
Insert Front,Vec,,,,94424163.0,ns,16732
Insert Front,Vec,,,,94488337.0,ns,16910
Insert Front,Vec,,,,95311964.0,ns,17088
Insert Front,Vec,,,,96317135.0,ns,17266
Insert Front,Vec,,,,97272384.0,ns,17444
Insert Front,Vec,,,,98279499.0,ns,17622
Insert Front,Vec,,,,99679628.0,ns,17800
