group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Split & Append,Deque,,,,1020423.0,ns,17
Split & Append,Deque,,,,2047100.0,ns,34
Split & Append,Deque,,,,3041412.0,ns,51
Split & Append,Deque,,,,4134026.0,ns,68
Split & Append,Deque,,,,5112375.0,ns,85
Split & Append,Deque,,,,6137589.0,ns,102
Split & Append,Deque,,,,7151583.0,ns,119
Split & Append,Deque,,,,8116555.0,ns,136
Split & Append,Deque,,,,9196868.0,ns,153
Split & Append,Deque,,,,10154260.0,ns,170
Split & Append,Deque,,,,11152751.0,ns,187
Split & Append,Deque,,,,12072278.0,ns,204
Split & Append,Deque,,,,13305043.0,ns,221
Split & Append,Deque,,,,14159711.0,ns,238
Split & Append,Deque,,,,15075790.0,ns,255
Split & Append,Deque,,,,16222169.0,ns,272
Split & Append,Deque,,,,17400885.0,ns,289
Split & Append,Deque,,,,18270426.0,ns,306
Split & Append,Deque,,,,19343245.0,ns,323
Split & Append,Deque,,,,20083107.0,ns,340
Split & Append,Deque,,,,21322788.0,ns,357
Split & Append,Deque,,,,22372918.0,ns,374
Split & Append,Deque,,,,23250303.0,ns,391
Split & Append,Deque,,,,24199200.0,ns,408
Split & Append,Deque,,,,25187212.0,ns,425
Split & Append,Deque,,,,26274282.0,ns,442
Split & Append,Deque,,,,27212501.0,ns,459
Split & Append,Deque,,,,28306453.0,ns,476
Split & Append,Deque,,,,29761565.0,ns,493
Split & Append,Deque,,,,30375837.0,ns,510
Split & Append,Deque,,,,31389177.0,ns,527
Split & Append,Deque,,,,32853581.0,ns,544
Split & Append,Deque,,,,33443928.0,ns,561
Split & Append,Deque,,,,34817126.0,ns,578
Split & Append,Deque,,,,35223106.0,ns,595
Split & Append,Deque,,,,36332855.0,ns,612
Split & Append,Deque,,,,37361484.0,ns,629
Split & Append,Deque,,,,38068855.0,ns,646
Split & Append,Deque,,,,39132684.0,ns,663
Split & Append,Deque,,,,40637487.0,ns,680
Split & Append,Deque,,,,41240291.0,ns,697
Split & Append,Deque,,,,42272367.0,ns,714
Split & Append,Deque,,,,43057128.0,ns,731
Split & Append,Deque,,,,44629586.0,ns,748
Split & Append,Deque,,,,46112219.0,ns,765
Split & Append,Deque,,,,46654537.0,ns,782
Split & Append,Deque,,,,47460437.0,ns,799
Split & Append,Deque,,,,48421515.0,ns,816
Split & Append,Deque,,,,49555281.0,ns,833
Split & Append,Deque,,,,50200091.0,ns,850
Split & Append,Deque,,,,51295370.0,ns,867
Split & Append,Deque,,,,52094799.0,ns,884
Split & Append,Deque,,,,52968804.0,ns,901
Split & Append,Deque,,,,53894220.0,ns,918
Split & Append,Deque,,,,54933620.0,ns,935
Split & Append,Deque,,,,55817184.0,ns,952
Split & Append,Deque,,,,56927992.0,ns,969
Split & Append,Deque,,,,58230014.0,ns,986
Split & Append,Deque,,,,59056981.0,ns,1003
Split & Append,Deque,,,,60160182.0,ns,1020
Split & Append,Deque,,,,60937603.0,ns,1037
Split & Append,Deque,,,,61982467.0,ns,1054
Split & Append,Deque,,,,69608513.0,ns,1071
Split & Append,Deque,,,,65273424.0,ns,1088
Split & Append,Deque,,,,65955401.0,ns,1105
Split & Append,Deque,,,,66696174.0,ns,1122
Split & Append,Deque,,,,67271484.0,ns,1139
Split & Append,Deque,,,,68154399.0,ns,1156
Split & Append,Deque,,,,69105273.0,ns,1173
Split & Append,Deque,,,,69997990.0,ns,1190
Split & Append,Deque,,,,70923263.0,ns,1207
Split & Append,Deque,,,,71776339.0,ns,1224
Split & Append,Deque,,,,72921755.0,ns,1241
Split & Append,Deque,,,,74050721.0,ns,1258
Split & Append,Deque,,,,74994092.0,ns,1275
Split & Append,Deque,,,,75978045.0,ns,1292
Split & Append,Deque,,,,78258848.0,ns,1309
Split & Append,Deque,,,,79624959.0,ns,1326
Split & Append,Deque,,,,80716974.0,ns,1343
Split & Append,Deque,,,,81624536.0,ns,1360
Split & Append,Deque,,,,82175046.0,ns,1377
Split & Append,Deque,,,,82974860.0,ns,1394
Split & Append,Deque,,,,83899967.0,ns,1411
Split & Append,Deque,,,,84907526.0,ns,1428
Split & Append,Deque,,,,85828457.0,ns,1445
Split & Append,Deque,,,,87092285.0,ns,1462
Split & Append,Deque,,,,87627120.0,ns,1479
Split & Append,Deque,,,,88198043.0,ns,1496
Split & Append,Deque,,,,90081338.0,ns,1513
Split & Append,Deque,,,,90767712.0,ns,1530
Split & Append,Deque,,,,91656795.0,ns,1547
Split & Append,Deque,,,,92022988.0,ns,1564
Split & Append,Deque,,,,92771225.0,ns,1581
Split & Append,Deque,,,,93918510.0,ns,1598
Split & Append,Deque,,,,94804749.0,ns,1615
Split & Append,Deque,,,,95942257.0,ns,1632
Split & Append,Deque,,,,96908405.0,ns,1649
Split & Append,Deque,,,,97941484.0,ns,1666
Split & Append,Deque,,,,98812917.0,ns,1683
Split & Append,Deque,,,,101398075.0,ns,1700
