group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Split & Append,List,,,,1083350.0,ns,25
Split & Append,List,,,,2043282.0,ns,50
Split & Append,List,,,,2940033.0,ns,75
Split & Append,List,,,,3932239.0,ns,100
Split & Append,List,,,,5056953.0,ns,125
Split & Append,List,,,,6147358.0,ns,150
Split & Append,List,,,,7303460.0,ns,175
Split & Append,List,,,,8000011.0,ns,200
Split & Append,List,,,,9034994.0,ns,225
Split & Append,List,,,,10064042.0,ns,250
Split & Append,List,,,,10998113.0,ns,275
Split & Append,List,,,,12393097.0,ns,300
Split & Append,List,,,,12844778.0,ns,325
Split & Append,List,,,,14276936.0,ns,350
Split & Append,List,,,,14842122.0,ns,375
Split & Append,List,,,,16135315.0,ns,400
Split & Append,List,,,,16977012.0,ns,425
Split & Append,List,,,,17852809.0,ns,450
Split & Append,List,,,,18987779.0,ns,475
Split & Append,List,,,,19992819.0,ns,500
Split & Append,List,,,,21341111.0,ns,525
Split & Append,List,,,,21790920.0,ns,550
Split & Append,List,,,,23032257.0,ns,575
Split & Append,List,,,,24023430.0,ns,600
Split & Append,List,,,,25016551.0,ns,625
Split & Append,List,,,,25861201.0,ns,650
Split & Append,List,,,,26978317.0,ns,675
Split & Append,List,,,,28165908.0,ns,700
Split & Append,List,,,,29726308.0,ns,725
Split & Append,List,,,,29902157.0,ns,750
Split & Append,List,,,,30777455.0,ns,775
Split & Append,List,,,,31888810.0,ns,800
Split & Append,List,,,,32861685.0,ns,825
Split & Append,List,,,,34179372.0,ns,850
Split & Append,List,,,,35188945.0,ns,875
Split & Append,List,,,,35991722.0,ns,900
Split & Append,List,,,,36919136.0,ns,925
Split & Append,List,,,,37790239.0,ns,950
Split & Append,List,,,,39853089.0,ns,975
Split & Append,List,,,,42372342.0,ns,1000
Split & Append,List,,,,42059396.0,ns,1025
Split & Append,List,,,,42123095.0,ns,1050
Split & Append,List,,,,43093449.0,ns,1075
Split & Append,List,,,,44535794.0,ns,1100
Split & Append,List,,,,45122717.0,ns,1125
Split & Append,List,,,,46030908.0,ns,1150
Split & Append,List,,,,47138904.0,ns,1175
Split & Append,List,,,,47780723.0,ns,1200
Split & Append,List,,,,49064468.0,ns,1225
Split & Append,List,,,,49687302.0,ns,1250
Split & Append,List,,,,50701738.0,ns,1275
Split & Append,List,,,,51558127.0,ns,1300
Split & Append,List,,,,52777589.0,ns,1325
Split & Append,List,,,,55006524.0,ns,1350
Split & Append,List,,,,55279616.0,ns,1375
Split & Append,List,,,,56030136.0,ns,1400
Split & Append,List,,,,57035062.0,ns,1425
Split & Append,List,,,,58041195.0,ns,1450
Split & Append,List,,,,58784865.0,ns,1475
Split & Append,List,,,,64389967.0,ns,1500
Split & Append,List,,,,61806612.0,ns,1525
Split & Append,List,,,,62581460.0,ns,1550
Split & Append,List,,,,63358074.0,ns,1575
Split & Append,List,,,,65946330.0,ns,1600
Split & Append,List,,,,66554321.0,ns,1625
Split & Append,List,,,,66266710.0,ns,1650
Split & Append,List,,,,67549863.0,ns,1675
Split & Append,List,,,,67810719.0,ns,1700
Split & Append,List,,,,69062950.0,ns,1725
Split & Append,List,,,,70452392.0,ns,1750
Split & Append,List,,,,70503901.0,ns,1775
Split & Append,List,,,,72449032.0,ns,1800
Split & Append,List,,,,73323264.0,ns,1825
Split & Append,List,,,,75958994.0,ns,1850
Split & Append,List,,,,77348751.0,ns,1875
Split & Append,List,,,,76862986.0,ns,1900
Split & Append,List,,,,77608546.0,ns,1925
Split & Append,List,,,,78523999.0,ns,1950
Split & Append,List,,,,78657062.0,ns,1975
Split & Append,List,,,,79380149.0,ns,2000
Split & Append,List,,,,80564569.0,ns,2025
Split & Append,List,,,,81840722.0,ns,2050
Split & Append,List,,,,83396959.0,ns,2075
Split & Append,List,,,,84846335.0,ns,2100
Split & Append,List,,,,85246796.0,ns,2125
Split & Append,List,,,,85970706.0,ns,2150
Split & Append,List,,,,91900986.0,ns,2175
Split & Append,List,,,,88818111.0,ns,2200
Split & Append,List,,,,90762804.0,ns,2225
Split & Append,List,,,,91069784.0,ns,2250
Split & Append,List,,,,91546481.0,ns,2275
Split & Append,List,,,,92738796.0,ns,2300
Split & Append,List,,,,93566518.0,ns,2325
Split & Append,List,,,,94603570.0,ns,2350
Split & Append,List,,,,95354261.0,ns,2375
Split & Append,List,,,,96306180.0,ns,2400
Split & Append,List,,,,98605277.0,ns,2425
Split & Append,List,,,,101755642.0,ns,2450
Split & Append,List,,,,100951913.0,ns,2475
Split & Append,List,,,,100661934.0,ns,2500
