group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sum,Deque,,,,975566.0,ns,3819
Sum,Deque,,,,2002555.0,ns,7638
Sum,Deque,,,,2930019.0,ns,11457
Sum,Deque,,,,3903419.0,ns,15276
Sum,Deque,,,,4930846.0,ns,19095
Sum,Deque,,,,6021755.0,ns,22914
Sum,Deque,,,,6972104.0,ns,26733
Sum,Deque,,,,7837451.0,ns,30552
Sum,Deque,,,,8843930.0,ns,34371
Sum,Deque,,,,9772098.0,ns,38190
Sum,Deque,,,,10807361.0,ns,42009
Sum,Deque,,,,11774768.0,ns,45828
Sum,Deque,,,,12889627.0,ns,49647
Sum,Deque,,,,13713438.0,ns,53466
Sum,Deque,,,,14638844.0,ns,57285
Sum,Deque,,,,15746045.0,ns,61104
Sum,Deque,,,,16677895.0,ns,64923
Sum,Deque,,,,17627853.0,ns,68742
Sum,Deque,,,,18569933.0,ns,72561
Sum,Deque,,,,19629605.0,ns,76380
Sum,Deque,,,,20495471.0,ns,80199
Sum,Deque,,,,21578917.0,ns,84018
Sum,Deque,,,,22463365.0,ns,87837
Sum,Deque,,,,23459257.0,ns,91656
Sum,Deque,,,,24462408.0,ns,95475
Sum,Deque,,,,25477317.0,ns,99294
Sum,Deque,,,,26445051.0,ns,103113
Sum,Deque,,,,27395923.0,ns,106932
Sum,Deque,,,,28362402.0,ns,110751
Sum,Deque,,,,29336455.0,ns,114570
Sum,Deque,,,,30310342.0,ns,118389
Sum,Deque,,,,31411858.0,ns,122208
Sum,Deque,,,,32365494.0,ns,126027
Sum,Deque,,,,33285241.0,ns,129846
Sum,Deque,,,,34211096.0,ns,133665
Sum,Deque,,,,35313037.0,ns,137484
Sum,Deque,,,,36398791.0,ns,141303
Sum,Deque,,,,37286834.0,ns,145122
Sum,Deque,,,,38288377.0,ns,148941
Sum,Deque,,,,39277428.0,ns,152760
Sum,Deque,,,,40377497.0,ns,156579
Sum,Deque,,,,41090600.0,ns,160398
Sum,Deque,,,,42190578.0,ns,164217
Sum,Deque,,,,43278418.0,ns,168036
Sum,Deque,,,,44144846.0,ns,171855
Sum,Deque,,,,45123881.0,ns,175674
Sum,Deque,,,,46037801.0,ns,179493
Sum,Deque,,,,47081830.0,ns,183312
Sum,Deque,,,,47895272.0,ns,187131
Sum,Deque,,,,48991547.0,ns,190950
Sum,Deque,,,,49803760.0,ns,194769
Sum,Deque,,,,50883367.0,ns,198588
Sum,Deque,,,,51834023.0,ns,202407
Sum,Deque,,,,53220215.0,ns,206226
Sum,Deque,,,,54123508.0,ns,210045
Sum,Deque,,,,55157134.0,ns,213864
Sum,Deque,,,,56006740.0,ns,217683
Sum,Deque,,,,56857016.0,ns,221502
Sum,Deque,,,,57890835.0,ns,225321
Sum,Deque,,,,58961133.0,ns,229140
Sum,Deque,,,,59834568.0,ns,232959
Sum,Deque,,,,63820340.0,ns,236778
Sum,Deque,,,,70542032.0,ns,240597
Sum,Deque,,,,64635161.0,ns,244416
Sum,Deque,,,,66015488.0,ns,248235
Sum,Deque,,,,66793063.0,ns,252054
Sum,Deque,,,,67258265.0,ns,255873
Sum,Deque,,,,68498340.0,ns,259692
Sum,Deque,,,,82874187.0,ns,263511
Sum,Deque,,,,70305590.0,ns,267330
Sum,Deque,,,,71417852.0,ns,271149
Sum,Deque,,,,72996149.0,ns,274968
Sum,Deque,,,,73983001.0,ns,278787
Sum,Deque,,,,74302301.0,ns,282606
Sum,Deque,,,,74969791.0,ns,286425
Sum,Deque,,,,75705170.0,ns,290244
Sum,Deque,,,,76921905.0,ns,294063
Sum,Deque,,,,78009314.0,ns,297882
Sum,Deque,,,,79066101.0,ns,301701
Sum,Deque,,,,78904272.0,ns,305520
Sum,Deque,,,,79719960.0,ns,309339
Sum,Deque,,,,81545079.0,ns,313158
Sum,Deque,,,,82538407.0,ns,316977
Sum,Deque,,,,94733453.0,ns,320796
Sum,Deque,,,,83303255.0,ns,324615
Sum,Deque,,,,84034238.0,ns,328434
Sum,Deque,,,,85685623.0,ns,332253
Sum,Deque,,,,86823942.0,ns,336072
Sum,Deque,,,,87668629.0,ns,339891
Sum,Deque,,,,89153827.0,ns,343710
Sum,Deque,,,,92042455.0,ns,347529
Sum,Deque,,,,91257610.0,ns,351348
Sum,Deque,,,,91081724.0,ns,355167
Sum,Deque,,,,92285962.0,ns,358986
Sum,Deque,,,,93101516.0,ns,362805
Sum,Deque,,,,94245547.0,ns,366624
Sum,Deque,,,,95264813.0,ns,370443
Sum,Deque,,,,96031981.0,ns,374262
Sum,Deque,,,,96985712.0,ns,378081
Sum,Deque,,,,98586690.0,ns,381900
