group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sum,Deque,,,,1052436.0,ns,3807
Sum,Deque,,,,1952695.0,ns,7614
Sum,Deque,,,,2926557.0,ns,11421
Sum,Deque,,,,3891545.0,ns,15228
Sum,Deque,,,,4931876.0,ns,19035
Sum,Deque,,,,5907663.0,ns,22842
Sum,Deque,,,,6910715.0,ns,26649
Sum,Deque,,,,7843598.0,ns,30456
Sum,Deque,,,,8758504.0,ns,34263
Sum,Deque,,,,9685114.0,ns,38070
Sum,Deque,,,,10707929.0,ns,41877
Sum,Deque,,,,11651337.0,ns,45684
Sum,Deque,,,,12661872.0,ns,49491
Sum,Deque,,,,13572660.0,ns,53298
Sum,Deque,,,,14511735.0,ns,57105
Sum,Deque,,,,15527621.0,ns,60912
Sum,Deque,,,,16363950.0,ns,64719
Sum,Deque,,,,17500812.0,ns,68526
Sum,Deque,,,,18345514.0,ns,72333
Sum,Deque,,,,19461543.0,ns,76140
Sum,Deque,,,,20298010.0,ns,79947
Sum,Deque,,,,21114652.0,ns,83754
Sum,Deque,,,,22168430.0,ns,87561
Sum,Deque,,,,23271659.0,ns,91368
Sum,Deque,,,,24086990.0,ns,95175
Sum,Deque,,,,25078615.0,ns,98982
Sum,Deque,,,,26055771.0,ns,102789
Sum,Deque,,,,27017603.0,ns,106596
Sum,Deque,,,,27918778.0,ns,110403
Sum,Deque,,,,28745837.0,ns,114210
Sum,Deque,,,,29983731.0,ns,118017
Sum,Deque,,,,30923085.0,ns,121824
Sum,Deque,,,,31768199.0,ns,125631
Sum,Deque,,,,32842565.0,ns,129438
Sum,Deque,,,,33806746.0,ns,133245
Sum,Deque,,,,34862646.0,ns,137052
Sum,Deque,,,,35730311.0,ns,140859
Sum,Deque,,,,36781703.0,ns,144666
Sum,Deque,,,,37545344.0,ns,148473
Sum,Deque,,,,38640726.0,ns,152280
Sum,Deque,,,,39580477.0,ns,156087
Sum,Deque,,,,40252274.0,ns,159894
Sum,Deque,,,,41686001.0,ns,163701
Sum,Deque,,,,42865366.0,ns,167508
Sum,Deque,,,,43757425.0,ns,171315
Sum,Deque,,,,44703954.0,ns,175122
Sum,Deque,,,,45670414.0,ns,178929
Sum,Deque,,,,46469875.0,ns,182736
Sum,Deque,,,,47535557.0,ns,186543
Sum,Deque,,,,48416587.0,ns,190350
Sum,Deque,,,,49276756.0,ns,194157
Sum,Deque,,,,50235476.0,ns,197964
Sum,Deque,,,,51252981.0,ns,201771
Sum,Deque,,,,52219331.0,ns,205578
Sum,Deque,,,,53274461.0,ns,209385
Sum,Deque,,,,54003304.0,ns,213192
Sum,Deque,,,,55053200.0,ns,216999
Sum,Deque,,,,56622232.0,ns,220806
Sum,Deque,,,,57265490.0,ns,224613
Sum,Deque,,,,57942890.0,ns,228420
Sum,Deque,,,,58793601.0,ns,232227
Sum,Deque,,,,59849479.0,ns,236034
Sum,Deque,,,,61423547.0,ns,239841
Sum,Deque,,,,62424391.0,ns,243648
Sum,Deque,,,,63215526.0,ns,247455
Sum,Deque,,,,63728862.0,ns,251262
Sum,Deque,,,,65031888.0,ns,255069
Sum,Deque,,,,65685767.0,ns,258876
Sum,Deque,,,,67068142.0,ns,262683
Sum,Deque,,,,67623860.0,ns,266490
Sum,Deque,,,,68493175.0,ns,270297
Sum,Deque,,,,69390058.0,ns,274104
Sum,Deque,,,,70463041.0,ns,277911
Sum,Deque,,,,71066637.0,ns,281718
Sum,Deque,,,,72352905.0,ns,285525
Sum,Deque,,,,72896975.0,ns,289332
Sum,Deque,,,,73849181.0,ns,293139
Sum,Deque,,,,75757182.0,ns,296946
Sum,Deque,,,,76443960.0,ns,300753
Sum,Deque,,,,77258055.0,ns,304560
Sum,Deque,,,,78095106.0,ns,308367
Sum,Deque,,,,79030943.0,ns,312174
Sum,Deque,,,,79873549.0,ns,315981
Sum,Deque,,,,80556815.0,ns,319788
Sum,Deque,,,,81276205.0,ns,323595
Sum,Deque,,,,82540659.0,ns,327402
Sum,Deque,,,,83299052.0,ns,331209
Sum,Deque,,,,84374377.0,ns,335016
Sum,Deque,,,,86179501.0,ns,338823
Sum,Deque,,,,89774968.0,ns,342630
Sum,Deque,,,,89199385.0,ns,346437
Sum,Deque,,,,89793023.0,ns,350244
Sum,Deque,,,,90465112.0,ns,354051
Sum,Deque,,,,90990562.0,ns,357858
Sum,Deque,,,,92004563.0,ns,361665
Sum,Deque,,,,93857882.0,ns,365472
Sum,Deque,,,,95006101.0,ns,369279
Sum,Deque,,,,95468527.0,ns,373086
Sum,Deque,,,,96676773.0,ns,376893
Sum,Deque,,,,98357549.0,ns,380700
