group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sum,List,,,,973023.0,ns,246
Sum,List,,,,1957664.0,ns,492
Sum,List,,,,2841324.0,ns,738
Sum,List,,,,3661745.0,ns,984
Sum,List,,,,5104429.0,ns,1230
Sum,List,,,,5784732.0,ns,1476
Sum,List,,,,6410824.0,ns,1722
Sum,List,,,,7609875.0,ns,1968
Sum,List,,,,8832649.0,ns,2214
Sum,List,,,,9658719.0,ns,2460
Sum,List,,,,10384421.0,ns,2706
Sum,List,,,,11380798.0,ns,2952
Sum,List,,,,13005353.0,ns,3198
Sum,List,,,,13310675.0,ns,3444
Sum,List,,,,14162610.0,ns,3690
Sum,List,,,,15416732.0,ns,3936
Sum,List,,,,16450099.0,ns,4182
Sum,List,,,,17299001.0,ns,4428
Sum,List,,,,18228948.0,ns,4674
Sum,List,,,,19114918.0,ns,4920
Sum,List,,,,19743932.0,ns,5166
Sum,List,,,,20648002.0,ns,5412
Sum,List,,,,21909512.0,ns,5658
Sum,List,,,,22433810.0,ns,5904
Sum,List,,,,23793552.0,ns,6150
Sum,List,,,,24519423.0,ns,6396
Sum,List,,,,25729475.0,ns,6642
Sum,List,,,,26165186.0,ns,6888
Sum,List,,,,27806693.0,ns,7134
Sum,List,,,,28467631.0,ns,7380
Sum,List,,,,29296200.0,ns,7626
Sum,List,,,,30202646.0,ns,7872
Sum,List,,,,31473362.0,ns,8118
Sum,List,,,,32013718.0,ns,8364
Sum,List,,,,32535725.0,ns,8610
Sum,List,,,,33449092.0,ns,8856
Sum,List,,,,35189512.0,ns,9102
Sum,List,,,,35627786.0,ns,9348
Sum,List,,,,36242851.0,ns,9594
Sum,List,,,,37992959.0,ns,9840
Sum,List,,,,39119054.0,ns,10086
Sum,List,,,,39243668.0,ns,10332
Sum,List,,,,39774871.0,ns,10578
Sum,List,,,,42730534.0,ns,10824
Sum,List,,,,43556251.0,ns,11070
Sum,List,,,,49012559.0,ns,11316
Sum,List,,,,45330651.0,ns,11562
Sum,List,,,,48652393.0,ns,11808
Sum,List,,,,45639723.0,ns,12054
Sum,List,,,,48099469.0,ns,12300
Sum,List,,,,47640519.0,ns,12546
Sum,List,,,,48661869.0,ns,12792
Sum,List,,,,49296789.0,ns,13038
Sum,List,,,,51324120.0,ns,13284
Sum,List,,,,52064864.0,ns,13530
Sum,List,,,,51532069.0,ns,13776
Sum,List,,,,53074019.0,ns,14022
Sum,List,,,,54893608.0,ns,14268
Sum,List,,,,56344106.0,ns,14514
Sum,List,,,,57704008.0,ns,14760
Sum,List,,,,61110488.0,ns,15006
Sum,List,,,,59982279.0,ns,15252
Sum,List,,,,60329268.0,ns,15498
Sum,List,,,,61449165.0,ns,15744
Sum,List,,,,62153862.0,ns,15990
Sum,List,,,,61964485.0,ns,16236
Sum,List,,,,64451205.0,ns,16482
Sum,List,,,,66158590.0,ns,16728
Sum,List,,,,67317887.0,ns,16974
Sum,List,,,,68944267.0,ns,17220
Sum,List,,,,67632944.0,ns,17466
Sum,List,,,,69546879.0,ns,17712
Sum,List,,,,69275219.0,ns,17958
Sum,List,,,,71218941.0,ns,18204
Sum,List,,,,71847993.0,ns,18450
Sum,List,,,,73031522.0,ns,18696
Sum,List,,,,73675858.0,ns,18942
Sum,List,,,,74388684.0,ns,19188
Sum,List,,,,83756189.0,ns,19434
Sum,List,,,,78811440.0,ns,19680
Sum,List,,,,77580859.0,ns,19926
Sum,List,,,,78172364.0,ns,20172
Sum,List,,,,80159485.0,ns,20418
Sum,List,,,,80509899.0,ns,20664
Sum,List,,,,81287427.0,ns,20910
Sum,List,,,,83336753.0,ns,21156
Sum,List,,,,82820134.0,ns,21402
Sum,List,,,,88606604.0,ns,21648
Sum,List,,,,90239859.0,ns,21894
Sum,List,,,,89612511.0,ns,22140
Sum,List,,,,93262205.0,ns,22386
Sum,List,,,,90916086.0,ns,22632
Sum,List,,,,96752279.0,ns,22878
Sum,List,,,,93553897.0,ns,23124
Sum,List,,,,94661843.0,ns,23370
Sum,List,,,,94699322.0,ns,23616
Sum,List,,,,102650937.0,ns,23862
Sum,List,,,,96047429.0,ns,24108
Sum,List,,,,98875402.0,ns,24354
Sum,List,,,,99562194.0,ns,24600
