group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sum,Vec,,,,991589.0,ns,3852
Sum,Vec,,,,2001021.0,ns,7704
Sum,Vec,,,,2891437.0,ns,11556
Sum,Vec,,,,3886546.0,ns,15408
Sum,Vec,,,,4945449.0,ns,19260
Sum,Vec,,,,5967589.0,ns,23112
Sum,Vec,,,,7025068.0,ns,26964
Sum,Vec,,,,7944877.0,ns,30816
Sum,Vec,,,,8906671.0,ns,34668
Sum,Vec,,,,10068373.0,ns,38520
Sum,Vec,,,,11090104.0,ns,42372
Sum,Vec,,,,11971279.0,ns,46224
Sum,Vec,,,,12932372.0,ns,50076
Sum,Vec,,,,14007141.0,ns,53928
Sum,Vec,,,,14837724.0,ns,57780
Sum,Vec,,,,15952968.0,ns,61632
Sum,Vec,,,,16940498.0,ns,65484
Sum,Vec,,,,17812472.0,ns,69336
Sum,Vec,,,,18738970.0,ns,73188
Sum,Vec,,,,19721359.0,ns,77040
Sum,Vec,,,,20890893.0,ns,80892
Sum,Vec,,,,21644840.0,ns,84744
Sum,Vec,,,,22688916.0,ns,88596
Sum,Vec,,,,23676157.0,ns,92448
Sum,Vec,,,,24656490.0,ns,96300
Sum,Vec,,,,25642225.0,ns,100152
Sum,Vec,,,,26577305.0,ns,104004
Sum,Vec,,,,27578814.0,ns,107856
Sum,Vec,,,,28702919.0,ns,111708
Sum,Vec,,,,29670729.0,ns,115560
Sum,Vec,,,,30533869.0,ns,119412
Sum,Vec,,,,31681769.0,ns,123264
Sum,Vec,,,,32632025.0,ns,127116
Sum,Vec,,,,33540533.0,ns,130968
Sum,Vec,,,,34539051.0,ns,134820
Sum,Vec,,,,35369596.0,ns,138672
Sum,Vec,,,,36537769.0,ns,142524
Sum,Vec,,,,37521912.0,ns,146376
Sum,Vec,,,,38235820.0,ns,150228
Sum,Vec,,,,39417534.0,ns,154080
Sum,Vec,,,,40260693.0,ns,157932
Sum,Vec,,,,41282674.0,ns,161784
Sum,Vec,,,,42367470.0,ns,165636
Sum,Vec,,,,43296802.0,ns,169488
Sum,Vec,,,,44121737.0,ns,173340
Sum,Vec,,,,45785891.0,ns,177192
Sum,Vec,,,,46653950.0,ns,181044
Sum,Vec,,,,47815612.0,ns,184896
Sum,Vec,,,,48721526.0,ns,188748
Sum,Vec,,,,49363419.0,ns,192600
Sum,Vec,,,,50405152.0,ns,196452
Sum,Vec,,,,51447262.0,ns,200304
Sum,Vec,,,,52330704.0,ns,204156
Sum,Vec,,,,53286864.0,ns,208008
Sum,Vec,,,,54889826.0,ns,211860
Sum,Vec,,,,55480388.0,ns,215712
Sum,Vec,,,,56489482.0,ns,219564
Sum,Vec,,,,57137475.0,ns,223416
Sum,Vec,,,,58345805.0,ns,227268
Sum,Vec,,,,59304376.0,ns,231120
Sum,Vec,,,,60003110.0,ns,234972
Sum,Vec,,,,61209336.0,ns,238824
Sum,Vec,,,,61946137.0,ns,242676
Sum,Vec,,,,63121600.0,ns,246528
Sum,Vec,,,,64409886.0,ns,250380
Sum,Vec,,,,65201841.0,ns,254232
Sum,Vec,,,,66324877.0,ns,258084
Sum,Vec,,,,66779289.0,ns,261936
Sum,Vec,,,,68077328.0,ns,265788
Sum,Vec,,,,69007566.0,ns,269640
Sum,Vec,,,,69900712.0,ns,273492
Sum,Vec,,,,71078296.0,ns,277344
Sum,Vec,,,,72086673.0,ns,281196
Sum,Vec,,,,73199955.0,ns,285048
Sum,Vec,,,,74090609.0,ns,288900
Sum,Vec,,,,74898120.0,ns,292752
Sum,Vec,,,,75975497.0,ns,296604
Sum,Vec,,,,76763829.0,ns,300456
Sum,Vec,,,,78535853.0,ns,304308
Sum,Vec,,,,79349645.0,ns,308160
Sum,Vec,,,,80160337.0,ns,312012
Sum,Vec,,,,80855005.0,ns,315864
Sum,Vec,,,,83436659.0,ns,319716
Sum,Vec,,,,83013989.0,ns,323568
Sum,Vec,,,,84162205.0,ns,327420
Sum,Vec,,,,84569450.0,ns,331272
Sum,Vec,,,,85651934.0,ns,335124
Sum,Vec,,,,86967557.0,ns,338976
Sum,Vec,,,,87649128.0,ns,342828
Sum,Vec,,,,88521663.0,ns,346680
Sum,Vec,,,,90861326.0,ns,350532
Sum,Vec,,,,91084343.0,ns,354384
Sum,Vec,,,,91617947.0,ns,358236
Sum,Vec,,,,92445435.0,ns,362088
Sum,Vec,,,,93139968.0,ns,365940
Sum,Vec,,,,94329247.0,ns,369792
Sum,Vec,,,,95529270.0,ns,373644
Sum,Vec,,,,96443029.0,ns,377496
Sum,Vec,,,,97207176.0,ns,381348
Sum,Vec,,,,97890667.0,ns,385200
